일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,930.8,7.63,"4,991","-15,484","34,853","-24,672","20,845",183,"3,104","-8,113",-221,"-1,940","-8,868",0,313,"-15,172","-24,672",0
2021-03-02,923.17,9.23,"68,072","56,814","-120,030","-4,945","31,358",341,"27,550","7,378",608,508,328,0,88,"56,903","-4,945",0
2021-02-26,913.94,-22.27,"-170,050","-217,163","398,250","-12,131","-51,553","1,971","-46,397","-45,522","-1,871","-21,658","-5,021",0,"1,094","-216,069","-12,131",0
2021-02-25,936.21,29.9,"83,105","129,327","-192,073","-20,228","72,086","4,842","36,017","-14,137",-860,"-4,259","-10,583",0,-132,"129,196","-20,228",0
2021-02-24,906.31,-30.29,"-54,465","30,135","25,753","-3,169",210,-658,"-22,875","-29,515","-1,404","-1,428","1,206",0,"1,746","31,881","-3,169",0
2021-02-23,936.6,-17.69,"-39,252","-44,842","119,735","-34,737","38,972","-15,599","-45,407","-4,271",-616,9,"-12,340",0,-904,"-45,746","-34,737",0
2021-02-22,954.29,-10.82,"-91,541","-89,371","192,028","-13,554","-22,924","-5,305","-12,224","-26,234","-3,192","-2,341","-19,321",0,"2,438","-86,933","-13,554",0
2021-02-19,965.11,-2.31,"-24,432","-19,272","70,853","-26,771","20,784","-5,334","-4,446","-18,691",-105,"-2,276","-14,364",0,-378,"-19,650","-26,771",0
2021-02-18,967.42,-12.35,"-62,652","-104,862","208,056","-39,533","-8,572","-7,300","-1,375","-15,012",-666,"-12,026","-17,701",0,"-1,009","-105,871","-39,533",0
2021-02-17,979.77,2.03,"-65,556","68,809","53,496","-55,065","-24,153","3,845","-13,367","-7,409",-600,"-3,847","-20,025",0,"-1,683","67,125","-55,065",0
2021-02-16,977.74,-4.23,"-57,491","-92,189","174,500","-23,655","-34,634","3,444","-1,997","-12,287",252,"-5,129","-7,140",0,"-1,165","-93,354","-23,655",0
2021-02-15,981.97,17.66,"75,382","109,732","-150,490","-31,171","71,509","8,795","17,141","-13,777",361,"-2,060","-6,588",0,"-3,453","106,279","-31,171",0
2021-02-10,964.31,6.46,"-55,563","3,383","70,615","-14,175","6,717","-6,243","-3,479","-6,257",-128,"-7,383","-38,789",0,"-4,260",-877,"-14,175",0
2021-02-09,957.85,-2.93,"-48,958","9,251","56,870","-19,938","-14,915","-6,713","-17,216","13,272",-882,"-2,813","-19,692",0,"2,776","12,026","-19,938",0
2021-02-08,960.78,-6.64,"-36,517","21,120","67,872","-49,811","17,713","-5,350","-3,712","-27,652",-560,"-1,517","-15,438",0,"-2,664","18,456","-49,811",0
2021-02-05,967.42,2.84,"-87,919","-37,533","132,009","-9,138","-24,710","-10,601","2,631","-18,979",-901,"-2,364","-32,995",0,"2,581","-34,952","-9,138",0
2021-02-04,964.58,-6.11,"-87,166","-119,852","212,580","-6,551","-53,307","-2,656","1,058","-11,607",116,"-8,615","-12,155",0,988,"-118,863","-6,551",0
2021-02-03,970.69,6.88,"-93,983","6,955","150,588","-64,173","-22,280","-6,432","-7,821","-31,168","-1,731","-7,321","-17,231",0,613,"7,569","-64,173",0
2021-02-02,963.81,6.89,"-23,388","-36,179","67,685","-6,954","-13,707","-7,134","20,335","6,558",-550,"-1,973","-26,916",0,"-1,165","-37,343","-6,954",0
2021-02-01,956.92,28.19,"172,892","369,050","-521,559","-18,202","96,473","1,669","48,829","12,672",167,"-3,796","16,877",0,"-2,181","366,869","-18,202",0
2021-01-29,928.73,-32.5,"-107,221","-77,332","212,556","-29,855","-24,235","3,711","-18,989","-56,143",-109,"-12,330",873,0,"1,852","-75,480","-29,855",0
2021-01-28,961.23,-24.69,"-127,963","-194,603","365,433","-44,230","-38,802","-5,687","-24,797","-44,424","-2,893","-5,577","-5,783",0,"1,363","-193,240","-44,230",0
2021-01-27,985.92,-8.08,"-191,559","-151,363","366,907","-24,648","-102,966","-3,606","-21,870","-25,335",-180,"-2,194","-35,408",0,663,"-150,700","-24,648",0
2021-01-26,994,-5.3,"-146,641","-209,245","411,375","-54,708","-68,144","-5,492","-47,219","-1,368",-718,"-3,353","-20,347",0,-781,"-210,026","-54,708",0
2021-01-25,999.3,19.32,"94,797","90,449","-162,560","-23,358","95,134","-3,664","8,948","-1,674",549,-872,"-3,624",0,672,"91,121","-23,358",0
2021-01-22,979.98,-1.42,"-101,708","-78,582","195,498","-15,554","-76,979","-3,112","-12,673","-10,367",-894,"-5,531","7,849",0,346,"-78,236","-15,554",0
2021-01-21,981.4,3.74,"-183,613","-116,385","361,700","-60,955","-128,447","10,398","-13,126","-14,810",994,"-25,820","-12,802",0,-746,"-117,131","-60,955",0
2021-01-20,977.66,19.91,"214,677","268,189","-450,057","-32,144","133,396","9,333","56,510","35,116","-1,219","-4,766","-13,692",0,-666,"267,523","-32,144",0
2021-01-19,957.75,13.08,"43,991","257,796","-274,892","-23,368","82,822","1,307","-9,940","-10,919","-1,226","-12,535","-5,520",0,"-3,526","254,269","-23,368",0
2021-01-18,944.67,-19.77,"-6,527","26,276","11,112","-30,829","62,339","-7,126","-26,668","6,626","-2,090","-2,782","-36,826",0,-31,"26,245","-30,829",0
2021-01-15,964.44,-15.85,"-94,546","-143,052","255,738","-17,745","-111,575","-8,960","4,595","17,610",-105,"-3,905","7,795",0,-395,"-143,447","-17,745",0
2021-01-14,980.29,1.16,"-91,752","50,749","85,987","-45,408","-33,346","-6,740","-5,034","-1,131",-495,"-12,259","-32,748",0,424,"51,173","-45,408",0
2021-01-13,979.13,5.41,"-58,121","24,607","43,595","-10,788","-2,438","-13,393","-10,964","-1,366",-876,"-4,827","-24,257",0,707,"25,315","-10,788",0
2021-01-12,973.72,-2.91,"-153,527","-87,881","261,550","-21,257","-66,614","-8,304","-37,842","-15,343",231,"-7,833","-17,822",0,"1,115","-86,765","-21,257",0
2021-01-11,976.63,-11.16,"-85,717","33,694","86,044","-34,024","33,839","-10,159","-40,179","-58,499","-2,362","-4,550","-3,808",0,4,"33,698","-34,024",0
2021-01-08,987.79,-1.07,"-217,683","-13,536","285,417","-57,740","-10,183","-27,800","-74,698","-72,989",233,"-2,173","-30,072",0,"3,541","-9,995","-57,740",0
2021-01-07,988.86,7.47,"-198,509","14,034","223,561","-35,890","86,331","-20,941","-91,295","-68,414",-480,"-4,517","-99,193",0,"-3,196","10,838","-35,890",0
2021-01-06,981.39,-4.37,"-251,510","-102,011","387,990","-36,616","-127,346","-8,260","-43,062","-55,498","-1,029","-4,585","-11,731",0,"2,146","-99,865","-36,616",0
2021-01-05,985.76,8.14,"-288,004","-133,247","472,256","-51,195","-178,442","-5,864","-42,004","-31,674",-736,"-8,572","-20,711",0,190,"-133,057","-51,195",0
2021-01-04,977.62,9.2,"-265,837","-79,368","377,295","-31,328","-194,438","-23,951","-37,661","-19,311",-219,"-6,891","16,634",0,-762,"-80,130","-31,328",0
2020-12-30,968.42,11.01,"-35,995","-62,877","123,507","-25,708","-28,897","8,888","8,900","-41,172","-1,810","-11,548","29,644",0,"1,072","-61,804","-25,708",0
2020-12-29,957.41,30.41,"-326,455","114,724","272,449","-57,575","-242,556","-3,602","9,367","-104,480","-2,192","-6,880","23,889",0,"-3,143","111,581","-57,575",0
2020-12-28,927,-1.68,"646,371","282,148","-902,727","-23,971","594,613","3,665","-3,370","47,531","-2,051","-18,759","24,742",0,"-1,821","280,327","-23,971",0
2020-12-24,928.68,5.51,"312,425","317,942","-593,435","-31,167","286,467","-2,759","8,359","35,412","-2,017","-7,766","-5,270",0,"-5,766","312,176","-31,167",0
2020-12-23,923.17,-5.56,"-77,863","181,088","-30,267","-73,253","23,068","2,070","-11,200","-70,569","-9,076","-25,089","12,933",0,294,"181,382","-73,253",0
2020-12-22,928.73,-24.85,"-202,572","-175,727","464,881","-79,070","-90,730",531,"-42,883","-55,498","-11,791","-5,206","3,004",0,"-7,512","-183,239","-79,070",0
2020-12-21,953.58,6.34,"-27,245","80,530","28,191","-81,480","1,114","2,018","-1,414","-24,435","-5,001","-8,650","9,123",0,4,"80,534","-81,480",0
2020-12-18,947.24,3.2,"-53,087","64,344","40,728","-52,125","-36,652",-755,"-17,638","8,516","-3,852",-229,"-2,478",0,141,"64,485","-52,125",0
2020-12-17,944.04,4.39,"81,783","64,915","-118,823","-27,970","47,060","13,465","14,860","-11,883","-15,696",-173,"34,150",0,95,"65,010","-27,970",0
