일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,"1,398.46",10.24,"35,600","-18,261","-18,637","1,671","32,028","1,741",175,"10,615",-438,-43,"-8,478",0,-373,"-18,634","1,671",0
2021-03-02,"1,388.22",25.1,"77,344","67,923","-152,522","8,164","30,960","2,391","26,837","18,196",603,192,"-1,834",0,-910,"67,014","8,164",0
2021-02-26,"1,363.12",-31.21,"-96,837","-158,865","255,598","-1,145","-48,607","2,901","-38,393","-6,534",528,-79,"-6,652",0,"1,250","-157,616","-1,145",0
2021-02-25,"1,394.33",56.73,"119,313","64,276","-183,338",-397,"78,962","5,549","32,355","14,924",151,-261,"-12,367",0,146,"64,422",-397,0
2021-02-24,"1,337.60",-42.53,"-16,956","80,428","-74,105","10,324","8,497",-978,"-22,670","1,207","-1,153",-38,"-1,820",0,310,"80,738","10,324",0
2021-02-23,"1,380.13",-34.44,"-12,841","12,834","14,101","-13,334","43,750","-11,611","-33,841","3,459",-252,-274,"-14,073",0,-760,"12,074","-13,334",0
2021-02-22,"1,414.57",-26.28,"-74,913","-85,892","161,428",-958,"-18,905","-4,692","-20,295","-8,898",-564,273,"-21,832",0,335,"-85,557",-958,0
2021-02-19,"1,440.85",2.59,"13,722","8,829","-10,400","-12,261","29,371",-425,"4,711","-3,851",237,"-1,374","-14,947",0,111,"8,940","-12,261",0
2021-02-18,"1,438.26",-18.23,"-48,744","-22,075","68,747","1,467","-11,887","-2,242","-4,773","-2,726",-99,"-10,081","-16,938",0,605,"-21,470","1,467",0
2021-02-17,"1,456.49",-7.48,"-30,722","31,855","5,179","-3,682","-17,854","4,032","-10,741","4,440",72,113,"-10,784",0,"-2,631","29,224","-3,682",0
2021-02-16,"1,463.97",-24.93,"-37,569","-93,901","125,838","5,691","-34,917","6,890",-560,"-5,320",659,"1,229","-5,550",0,-58,"-93,960","5,691",0
2021-02-15,"1,488.90",22.89,"88,418","10,946","-101,883","3,630","75,947","5,877","13,023","-1,712",212,-24,"-4,905",0,"-1,112","9,835","3,630",0
2021-02-10,"1,466.01",3.86,"-43,833","11,195","27,629","5,473","3,827","-3,777","-4,883","-5,628",-206,-286,"-32,881",0,-463,"10,732","5,473",0
2021-02-09,"1,462.15",-9.46,"-51,045","-6,063","52,995","4,910","-15,773","-9,176","-15,613","6,753",-938,256,"-16,555",0,-796,"-6,859","4,910",0
2021-02-08,"1,471.61",-10.88,"-30,833","52,095","-16,242","-4,112","19,871","-4,523","-19,914","-10,322",-373,-6,"-15,565",0,-909,"51,186","-4,112",0
2021-02-05,"1,482.49",4.48,"-58,561","-4,295","55,886","6,459","-12,153","-9,832",271,"-4,169",-471,-63,"-32,144",0,510,"-3,784","6,459",0
2021-02-04,"1,478.01",-16.31,"-71,869","-48,886","117,458","2,915","-49,023",-659,"-14,088","-1,580",543,-237,"-6,827",0,382,"-48,504","2,915",0
2021-02-03,"1,494.32",5.63,"-17,900","14,612","-2,819","4,434","-8,314","-2,473","7,876","-1,628",-373,66,"-13,054",0,"1,673","16,285","4,434",0
2021-02-02,"1,488.69",0.15,"-36,721","-66,405","101,674",776,"-12,630","-2,034","1,483","-1,685",-240,229,"-21,843",0,677,"-65,729",776,0
2021-02-01,"1,488.54",60.82,"161,056","282,579","-439,656","-1,782","94,013",96,"34,204","16,693",336,"-1,177","16,892",0,"-2,197","280,381","-1,782",0
2021-01-29,"1,427.72",-47.63,"-48,678","-1,894","55,826","-6,578","-14,725","2,670","-27,483","-12,349",148,354,"2,707",0,"1,324",-570,"-6,578",0
2021-01-28,"1,475.35",-32.11,"-49,080","-107,183","148,358","6,725","-32,679",121,"-4,091",-220,99,-349,"-11,963",0,"1,180","-106,003","6,725",0
2021-01-27,"1,507.46",-15.75,"-150,302","-45,735","196,876","-1,459","-91,843","-1,143","-21,639","-6,999",224,408,"-29,311",0,620,"-45,115","-1,459",0
2021-01-26,"1,523.21",-13.91,"-127,759","-103,963","240,141","-7,934","-73,438","-1,676","-31,135",895,-593,-646,"-21,166",0,-485,"-104,448","-7,934",0
2021-01-25,"1,537.12",45.11,"113,362","91,433","-202,344","-1,824","98,374","-2,163","8,194","15,788",-35,10,"-6,806",0,-627,"90,806","-1,824",0
2021-01-22,"1,492.01",-2.81,"-61,522","20,177","39,035","2,221","-68,623","-4,302","6,397","5,524",859,"-1,282",-94,0,89,"20,265","2,221",0
2021-01-21,"1,494.82",-1.39,"-111,897","-124,901","234,048","2,619","-104,906","5,971","-6,382","9,471","1,272","2,221","-19,543",0,131,"-124,770","2,619",0
2021-01-20,"1,496.21",34.4,"156,838","210,849","-365,102",-849,"132,405","5,130","17,765","19,788",-90,794,"-18,954",0,"-1,735","209,113",-849,0
2021-01-19,"1,461.81",14.02,"63,682","115,201","-177,920","2,642","87,838","-2,554","-13,227","-8,355",-245,-906,"1,129",0,"-3,605","111,596","2,642",0
2021-01-18,"1,447.79",-32.46,"6,919","59,698","-70,198","1,428","69,221","-6,259","-28,963","4,196",-635,-183,"-30,459",0,"2,153","61,851","1,428",0
2021-01-15,"1,480.25",-37.59,"-105,093","-83,983","184,029","5,011","-112,319","-3,842",-272,"10,223",17,"-1,982","3,083",0,36,"-83,947","5,011",0
2021-01-14,"1,517.84",-11.63,"-79,040","41,763","40,761","-3,025","-40,798","-2,672","-5,569","2,815",-24,"-2,251","-30,541",0,-458,"41,304","-3,025",0
2021-01-13,"1,529.47",2.37,"-25,396","-2,374","18,308","10,475","-3,843","-8,282","-7,516","7,757",-130,"-2,420","-10,962",0,"-1,013","-3,387","10,475",0
2021-01-12,"1,527.10",-5.7,"-102,154","-90,033","183,233","8,827","-60,714","-2,931","-22,497","-6,451","1,154",-373,"-10,343",0,128,"-89,905","8,827",0
2021-01-11,"1,532.80",-1.97,"-18,754","65,018","-42,120","-4,314","39,336","-4,537","-25,643","-30,244",186,-468,"2,616",0,170,"65,188","-4,314",0
2021-01-08,"1,534.77",11.26,"-141,749","69,126","68,994","2,420","-8,306","-24,186","-45,940","-46,354",270,196,"-17,428",0,"1,210","70,335","2,420",0
2021-01-07,"1,523.51",7.97,"-105,060","27,873","85,591","-5,204","89,680","-18,209","-62,503","-32,426",-136,-645,"-80,823",0,"-3,199","24,674","-5,204",0
2021-01-06,"1,515.54",-18.69,"-199,488","-69,453","264,222","1,499","-123,764","-3,476","-39,641","-25,513",-838,-274,"-5,981",0,"3,220","-66,233","1,499",0
2021-01-05,"1,534.23",7.12,"-215,681","-46,846","259,698","1,378","-172,904","-3,905","-15,853","-6,900",-669,"-3,923","-11,528",0,"1,452","-45,395","1,378",0
2021-01-04,"1,527.11",-5.41,"-241,336","-14,886","252,739","4,428","-190,277","-21,764","-24,776","-14,240",-115,-384,"10,220",0,-944,"-15,830","4,428",0
2020-12-30,"1,532.52",1.47,"-28,910","-125,123","138,574","15,361","-19,022","3,075","-12,180","-17,629",-174,"-2,165","19,185",0,99,"-125,025","15,361",0
2020-12-29,"1,531.05",50.31,"-311,297","-42,679","355,588","-3,825","-231,486","-7,597","8,254","-97,855",649,243,"16,494",0,"2,214","-40,465","-3,825",0
2020-12-28,"1,480.74",7.93,"643,368","225,581","-877,317","11,521","600,412","3,710","-6,280","42,353",-593,"-8,997","12,765",0,"-3,153","222,428","11,521",0
2020-12-24,"1,472.81",13.62,"310,041","242,257","-538,887","-9,722","282,072","-2,948","7,721","31,906",-604,-579,"-7,526",0,"-3,689","238,568","-9,722",0
2020-12-23,"1,459.19",-11.47,"12,917","123,226","-126,202","-10,201","37,491",-65,"-11,271","-19,740",-317,"-1,069","7,889",0,259,"123,486","-10,201",0
2020-12-22,"1,470.66",-43.53,"-143,619","-95,300","254,756","-14,132","-82,792",752,"-34,929","-23,253",-417,"-2,233",-747,0,"-1,706","-97,005","-14,132",0
2020-12-21,"1,514.19",21.8,"20,124","69,325","-76,864","-13,602","12,457",-41,"2,408","-7,942",-737,-400,"14,378",0,"1,017","70,342","-13,602",0
2020-12-18,"1,492.39",5.69,"-38,295","57,478","-8,811","-10,971","-29,725","-3,249","-8,496","4,260",-680,769,"-1,175",0,600,"58,077","-10,971",0
2020-12-17,"1,486.70",7.89,"79,468","91,903","-167,427","-3,444","51,179","7,941","6,370","3,781","-14,520","1,375","23,341",0,-499,"91,403","-3,444",0
2020-12-16,"1,478.81",10.96,"61,766","37,026","-62,472","-36,896","37,498","5,288","5,958","2,355",-969,"-1,296","12,933",0,575,"37,601","-36,896",0
2020-12-15,"1,467.85",0.52,"-43,869","-27,652","81,850","-10,575","-55,841","2,129","-1,350","5,643",-453,"-1,018","7,021",0,246,"-27,406","-10,575",0
2020-12-14,"1,467.33",3.81,"4,944","129,376","-123,442","-8,320","9,992",-625,"-1,091",-348,"-2,917",-734,668,0,"-2,558","126,818","-8,320",0
2020-12-11,"1,463.52",9.8,"-40,804","-30,554","70,569",-358,"-34,374",513,"-2,891","1,146",115,150,"-5,463",0,"1,148","-29,407",-358,0
2020-12-10,"1,453.72",24.65,"-44,256","109,869","-38,794","-26,261","119,550","1,365","-147,498","-9,735","-1,342","1,249","-7,845",0,-559,"109,310","-26,261",0
2020-12-09,"1,429.07",15.62,"-11,215","36,111","-24,722","1,648","-3,587","1,364","4,245","-6,663",-994,-159,"-5,421",0,"-1,823","34,288","1,648",0
2020-12-08,"1,413.45",-60.3,"-35,887","-109,012","149,395","-2,601","-3,716","-2,176","-8,808","-11,015",-794,45,"-9,424",0,"-1,895","-110,907","-2,601",0
2020-12-07,"1,473.75",48.43,"30,017","50,884","-69,572","-10,563","49,133","-1,665","-13,870",-614,723,56,"-3,746",0,-766,"50,117","-10,563",0
2020-12-04,"1,425.32",24.7,"13,478","28,123","-35,732","-5,861","24,456","3,470","-15,985","-2,898",694,"-2,847","6,588",0,-8,"28,116","-5,861",0
2020-12-03,"1,400.62",24.73,"-11,174","19,962","13,942","-23,140","-18,852",-599,"-2,577","17,915",-561,"-1,444","-5,057",0,410,"20,372","-23,140",0
2020-12-02,"1,375.89",15.06,"-63,999","21,884","43,801","-1,467","-42,629",902,"-8,095","1,537",-242,-915,"-14,556",0,-219,"21,665","-1,467",0
2020-12-01,"1,360.83",12.34,"-88,638","18,295","51,612","20,764","-52,511","-4,415","-5,342","-11,289",771,"-1,433","-14,418",0,"-2,033","16,262","20,764",0
2020-11-30,"1,348.49",-1.46,"-92,641","-107,368","204,720","-4,972","-72,606",-20,-440,"-1,013",-570,-231,"-17,762",0,260,"-107,107","-4,972",0
2020-11-27,"1,349.95",21.52,"69,324","219,243","-284,714","-3,140","74,779","3,274",112,-643,-71,91,"-8,218",0,-714,"218,530","-3,140",0
2020-11-26,"1,328.43",18.97,"89,646","25,805","-111,230","-5,375","97,827","1,256","-6,304","12,600",-174,-655,"-14,905",0,"1,154","26,959","-5,375",0
2020-11-25,"1,309.46",-2.62,"-186,059","40,254","149,876","-5,879","-89,640","-6,354","-28,502","-16,853",-949,-47,"-43,715",0,"1,808","42,062","-5,879",0
2020-11-24,"1,312.08",-13.32,"-14,519","5,795","17,988","-8,593","10,362","2,593","-11,417","-11,448",331,-276,"-4,664",0,-671,"5,124","-8,593",0
2020-11-23,"1,325.40",5.88,"-67,751","47,319","27,699","-8,285","-69,455","-4,936",115,"8,095",-572,-179,-819,0,"1,018","48,337","-8,285",0
