일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,"3,089.50",39.55,"664,480","-128,151","-527,576","-8,919","605,418","17,455","52,714","22,142","3,680","-1,237","-35,692",0,166,"-127,985","-8,919",0
2021-03-02,"3,049.95",37.66,"487,051","379,835","-850,249","-14,205","523,506","-28,988","20,462","40,495","-4,816","3,319","-66,927",0,"-2,432","377,403","-14,205",0
2021-02-26,"3,012.29",-95.45,"-928,205","-2,519,899","3,377,993","57,269","-818,192","24,701","-27,184","4,461","11,557",863,"-124,411",0,"12,841","-2,507,057","57,269",0
2021-02-25,"3,107.74",109.44,"890,383","956,591","-1,827,709","-12,426","946,439","-56,671","4,350","37,384","1,912","-2,253","-40,777",0,"-6,841","949,751","-12,426",0
2021-02-24,"2,998.30",-65.8,"-59,102","-64,124","127,695","-8,633","240,376","-10,310","-30,655","-28,026","-7,184","-3,735","-219,568",0,"4,166","-59,959","-8,633",0
2021-02-23,"3,064.10",-7.97,"363,088","-188,412","-176,795","1,635","357,954","-10,655","50,834","-24,076","3,580","1,189","-15,738",0,485,"-187,927","1,635",0
2021-02-22,"3,072.07",-31.08,"-390,355","-308,859","663,593","32,285","33,828","-24,145","-55,563","-3,180","7,636","3,034","-351,964",0,"3,336","-305,523","32,285",0
2021-02-19,"3,103.15",26.26,"18,041","-239,459","230,952","-11,233","139,052","-1,336",-939,"-31,668","-1,567","-7,393","-78,108",0,"1,699","-237,760","-11,233",0
2021-02-18,"3,076.89",-50.13,"-582,674","-652,024","1,226,151","6,474","-192,996","-21,556","-2,443","-39,661",708,"3,023","-329,749",0,"2,073","-649,951","6,474",0
2021-02-17,"3,127.02",-35.36,"-1,170,276","-364,345","1,514,677","15,437","-790,297","5,056","-32,046","-61,509",992,"-3,376","-289,096",0,"4,507","-359,838","15,437",0
2021-02-16,"3,162.38",16.19,"-582,509","271,248","285,566","23,662","-280,938","-39,011","3,345","-16,958",-540,327,"-248,733",0,"2,033","273,281","23,662",0
2021-02-15,"3,146.19",51.23,"-344,490","674,161","-369,528","38,902","-163,050","4,716","-5,182","12,465",672,"6,659","-200,772",0,956,"675,117","38,902",0
2021-02-10,"3,094.96",14.05,"-816,377","610,833","174,112","31,222","-502,703","-26,330","-5,239","-3,524","-2,259","1,386","-277,710",0,211,"611,044","31,222",0
2021-02-09,"3,080.91",-6.3,"138,765","-206,929","35,003","29,174","322,360","-28,138","15,814","35,421","1,426","1,793","-209,911",0,"3,987","-202,942","29,174",0
2021-02-08,"3,087.21",-35.41,"297,759","-339,500","44,918","-2,040","498,838","-26,215","-1,994","25,684","4,342",824,"-203,720",0,"-1,137","-340,637","-2,040",0
2021-02-05,"3,122.62",35.65,"277,437","290,738","-557,660","-7,513","543,555","-58,572","-24,999","11,026","1,950","1,966","-197,489",0,"-3,003","287,735","-7,513",0
2021-02-04,"3,086.97",-47.89,"-1,643,394","-568,053","2,195,369","9,156","-1,174,305","-29,475","-89,979","-28,466","2,451","1,238","-324,858",0,"6,923","-561,131","9,156",0
2021-02-03,"3,134.86",31.61,"-533,771","444,312","59,433","30,847","-206,609","-53,476","3,702","10,548",325,-874,"-287,388",0,-822,"443,490","30,847",0
2021-02-02,"3,103.25",41.12,"118,475","196,165","-333,036","16,499","399,945","-28,454","31,548","20,310",618,"-6,210","-299,282",0,"1,897","198,061","16,499",0
2021-02-01,"3,062.13",80.09,"619,671","106,588","-689,552","-37,445","680,895","9,825","104,120","34,881","4,540","-6,920","-207,670",0,738,"107,326","-37,445",0
2021-01-29,"2,982.04",-89.99,"-151,911","-1,112,672","1,277,082","-17,333",402,"-13,496","6,037","-42,162","4,607","-1,608","-105,691",0,"4,835","-1,107,838","-17,333",0
2021-01-28,"3,072.03",-52.17,"-362,362","-1,308,820","1,656,715","5,366","-98,828","-18,886","56,819","-42,023","5,595","-1,761","-263,278",0,"9,100","-1,299,719","5,366",0
2021-01-27,"3,124.20",-15.89,"-321,716","-468,627","823,706","-40,072","104,592","-34,612","-119,676","-26,751","2,868","3,269","-251,406",0,"6,709","-461,918","-40,072",0
2021-01-26,"3,140.09",-77.19,"-2,017,065","-1,837,027","3,821,307","18,520","-704,092","-286,297","-233,506","-198,606","1,543","-1,658","-594,448",0,"14,265","-1,822,763","18,520",0
2021-01-25,"3,217.28",74.3,"436,525","340,305","-749,764","-23,092","704,321","-69,400","3,496","-15,771","-2,200","-3,943","-179,978",0,"-3,974","336,331","-23,092",0
2021-01-22,"3,142.98",-26,"-1,267,720","-252,707","1,487,471","30,414","-610,518","-79,145","-114,431","-94,187","1,553","-1,408","-369,584",0,"2,542","-250,165","30,414",0
2021-01-21,"3,168.98",46.24,"-66,558","91,992","-38,213","12,327","229,276","-63,988","-18,804",615,"-1,109","-1,640","-210,909",0,453,"92,444","12,327",0
