일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,"2,307.52",27.77,"-10,460","10,732","4,462","-3,898","1,264",58,"-5,249","-4,059",-698,-133,"-1,643",0,-836,"9,896","-3,898",0
2021-03-02,"2,279.75",9.16,"1,435","-13,718","12,173",465,536,-98,"2,086",-311,-225,-101,-452,0,-356,"-14,073",465,0
2021-02-26,"2,270.59",-38.9,"-11,007","-33,400","44,620","1,306","-2,916","-1,179","-3,763","-2,199",-203,-545,-202,0,"-1,519","-34,919","1,306",0
2021-02-25,"2,309.49",50,"-5,702","28,088","-20,365","-3,771","-2,777",-230,"2,102",346,-727,"-6,402","1,985",0,"1,750","29,838","-3,771",0
2021-02-24,"2,259.49",-78.88,"-11,385","-31,390","46,896","-3,580","2,400",-561,"-1,933","-3,156","-1,872","-1,453","-4,809",0,-541,"-31,931","-3,580",0
2021-02-23,"2,338.37",-22.15,"-21,404","-19,831","77,045","-36,413",-79,"-1,006","-4,846","-2,484","-2,474",574,"-11,088",0,604,"-19,227","-36,413",0
2021-02-22,"2,360.52",-6.03,"-8,753","12,264",-636,"-3,603","-1,099",-763,-179,"4,034","-1,425",-307,"-9,014",0,728,"12,992","-3,603",0
2021-02-19,"2,366.55",-18.24,"-1,819","-19,363","20,214","2,235","5,029",-153,"-3,283","2,600","-1,783",-387,"-3,842",0,"-1,266","-20,629","2,235",0
2021-02-18,"2,384.79",-28.87,"-4,247","-26,813","38,076","-6,097",-831,-221,"1,211",-563,"-1,902",156,"-2,097",0,-918,"-27,731","-6,097",0
2021-02-17,"2,413.66",23.43,"-14,267","-8,337","28,011","-4,552",-968,103,"-2,673","-1,064","-2,115",-166,"-7,384",0,-855,"-9,192","-4,552",0
2021-02-16,"2,390.23",28.96,"8,747","-3,965","15,498","-22,017","3,292",773,"6,802","1,534","-2,381",-299,-974,0,"1,737","-2,228","-22,017",0
2021-02-15,"2,361.27",40.8,-530,"37,729","-40,275","1,502",934,185,"1,822",-321,-841,-23,"-2,286",0,"1,575","39,304","1,502",0
2021-02-10,"2,320.47",15.13,"-7,218","3,734","5,678","-2,523",861,-774,-106,"1,027",-464,80,"-7,842",0,329,"4,063","-2,523",0
2021-02-09,"2,305.34",-6.37,-105,"2,717","11,076","-14,513","2,279",183,-524,"3,087",-608,-23,"-4,499",0,825,"3,542","-14,513",0
2021-02-08,"2,311.71",-15.58,"-5,941","-20,283","28,228","-1,478","1,904",-31,"-1,191","-1,965",-814,-552,"-3,292",0,-526,"-20,809","-1,478",0
2021-02-05,"2,327.29",3.91,"-6,923","-21,457","33,420","-5,341","3,040",299,"-2,537",-615,"-1,445",-163,"-5,502",0,301,"-21,156","-5,341",0
2021-02-04,"2,323.38",6.08,"-1,472","-13,081","20,345","-7,779",271,"3,323","6,248","-2,431",-757,-917,"-7,209",0,"1,987","-11,094","-7,779",0
2021-02-03,"2,317.30",30.92,"-4,688","1,508","7,313","-4,432","8,370",370,"-2,549","-5,627",-657,-154,"-4,441",0,299,"1,807","-4,432",0
2021-02-02,"2,286.38",29.33,"-13,341","6,930","8,066","-1,823",-89,"-1,602","-1,745","-2,335",-538,-264,"-6,767",0,167,"7,098","-1,823",0
2021-02-01,"2,257.05",40.86,"-3,215","34,294","-23,267","-7,839","2,687",-913,873,"-1,466",-388,-785,"-3,223",0,26,"34,320","-7,839",0
2021-01-29,"2,216.19",-84.73,"-6,456","-22,671","30,030",-407,"3,203","1,016","-3,781","-2,518",-7,-942,"-3,426",0,-496,"-23,167",-407,0
2021-01-28,"2,300.92",-50.04,"-7,593","-34,403","35,096","10,156","1,034","1,582","-1,433","-2,342","-3,314",-400,"-2,720",0,"-3,255","-37,658","10,156",0
2021-01-27,"2,350.96",-10.41,"-11,828","-18,251","37,897","-7,351",184,"-1,122",11,"2,622","-3,535","-1,027","-8,959",0,-468,"-18,718","-7,351",0
2021-01-26,"2,361.37",-21.24,"-21,733","-21,724","46,379","-2,408","-4,483","-1,945","-9,627",-898,"-1,851",-102,"-2,828",0,-514,"-22,238","-2,408",0
2021-01-25,"2,382.61",22.68,"-21,194","-32,595","56,230",144,"-1,377","-1,213","-9,985","-5,824","-2,280",131,-646,0,"-2,584","-35,180",144,0
