일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,"3,082.99",39.12,"691,100","-20,486","-655,434","-14,639","651,262","7,841","60,224","19,232","3,186","-3,440","-47,206",0,-541,"-21,027","-14,639",0
2021-03-02,"3,043.87",30.92,"437,087","210,377","-624,895","-20,336","553,981","-41,788","9,477","25,236","-4,704","3,288","-108,403",0,"-2,232","208,144","-20,336",0
2021-02-26,"3,012.95",-86.74,"-1,030,068","-2,829,962","3,778,506","68,921","-891,584","26,706","-38,506","-21,671","10,126",-590,"-114,549",0,"12,603","-2,817,359","68,921",0
2021-02-25,"3,099.69",104.71,"974,913","974,946","-1,936,090","-8,948","1,027,147","-52,027","5,798","34,583","1,709","-7,797","-34,500",0,"-4,821","970,126","-8,948",0
2021-02-24,"2,994.98",-75.11,"-82,457","631,358","561,382","-1,115,543","258,837","-27,013","-68,615","-34,963","-7,787","-5,271","-197,645",0,"5,260","636,618","-1,115,543",0
2021-02-23,"3,070.09",-9.66,"338,731","-299,297","77,309","-120,531","370,144","-5,976","48,558","-35,084","-28,987","11,144","-21,069",0,"3,789","-295,508","-120,531",0
2021-02-22,"3,079.75",-27.87,"-460,116","-320,692","749,700","25,935","18,219","-24,846","-60,237","-15,876","6,866","-1,112","-383,130",0,"5,173","-315,519","25,935",0
2021-02-19,"3,107.62",20.96,"-65,552","-298,186","374,175","-10,517","120,774","-7,911","-24,359","-51,551","-3,502","-13,383","-85,621",0,80,"-298,106","-10,517",0
2021-02-18,"3,086.66",-47.07,"-613,029","-860,705","1,467,675","2,450","-227,616","-17,234","5,033","-47,964",346,"3,046","-328,641",0,"3,610","-857,095","2,450",0
2021-02-17,"3,133.73",-29.52,"-1,346,492","-486,601","1,810,675","17,315","-849,806","5,218","-64,903","-70,814","1,164","-13,572","-353,780",0,"5,104","-481,497","17,315",0
2021-02-16,"3,163.25",16.25,"-668,485","237,131","422,612","4,279","-309,503","-51,919","-1,881","-20,403","-4,172",-400,"-280,207",0,"4,464","241,595","4,279",0
2021-02-15,"3,147.00",46.42,"-419,278","729,567","-352,596","40,186","-168,305","-11,037","-11,108","11,051","-1,129","6,337","-245,087",0,"2,120","731,688","40,186",0
2021-02-10,"3,100.58",15.91,"-916,573","751,313","130,200","34,405","-527,780","-22,037","-5,343","-12,297","-28,336","1,664","-322,443",0,654,"751,967","34,405",0
2021-02-09,"3,084.67",-6.57,"156,805","-227,472","48,695","16,816","346,624","-34,518","23,475","42,246",-436,"3,344","-223,931",0,"5,157","-222,316","16,816",0
