일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,420.27,5.47,"698,438","-36,814","-648,849","-11,843","653,926","6,878","66,291","24,784","4,037","-3,449","-54,028",0,-931,"-37,745","-11,843",0
2021-03-02,414.8,4.89,"430,714","293,243","-702,453","-18,983","558,993","-39,672","4,266","28,765","-4,449","3,741","-120,929",0,"-2,521","290,722","-18,983",0
2021-02-26,409.91,-12.61,"-1,039,467","-2,708,715","3,671,348","62,947","-884,237","24,087","-34,683","-16,756","9,888",-243,"-137,523",0,"13,886","-2,694,829","62,947",0
2021-02-25,422.52,15.36,"955,675","1,000,528","-1,940,463","-8,702","1,018,318","-56,814","14,851","30,074","1,916","-2,151","-50,520",0,"-7,038","993,490","-8,702",0
2021-02-24,407.16,-8.66,"-72,059","714,694","468,649","-1,116,683","255,348","-24,789","-57,609","-29,227","-6,961","-4,025","-204,796",0,"5,399","720,093","-1,116,683",0
2021-02-23,415.82,-1.06,"343,754","-234,094","-113,594","2,424","371,586","-13,517","49,160","-35,087","3,385",290,"-32,064",0,"1,511","-232,584","2,424",0
2021-02-22,416.88,-4.06,"-424,903","-302,368","694,143","28,841","22,592","-23,772","-45,596","-20,159","8,153","2,899","-369,020",0,"4,287","-298,080","28,841",0
2021-02-19,420.94,3.5,"-65,230","-290,931","365,827","-11,233","112,138","-4,972","-24,684","-48,929","-1,600","-7,462","-89,721",0,"1,567","-289,364","-11,233",0
2021-02-18,417.44,-6.76,"-595,812","-770,853","1,356,439","6,239","-226,602","-14,359","5,522","-36,642","2,290","3,154","-329,176",0,"3,987","-766,866","6,239",0
2021-02-17,424.2,-5.04,"-1,282,896","-432,659","1,693,128","16,943","-847,858","3,424","-45,481","-56,665","3,501","-3,100","-336,717",0,"5,484","-427,175","16,943",0
2021-02-16,429.24,2.23,"-650,761","221,621","399,903","26,772","-310,538","-48,933","-3,741","-12,877","-1,148",-14,"-273,509",0,"2,465","224,086","26,772",0
2021-02-15,427.01,7.36,"-403,606","684,945","-325,234","41,765","-172,538","-9,919","-3,498","11,940",85,"5,875","-235,551",0,"2,130","687,075","41,765",0
2021-02-10,419.65,1.74,"-889,454","717,081","138,360","33,663","-527,175","-20,889","-2,351","-16,070","-27,063","1,217","-297,123",0,349,"717,431","33,663",0
2021-02-09,417.91,-1.04,"160,411","-189,204","-5,226","29,910","333,739","-28,171","25,525","40,345",782,"3,432","-215,242",0,"4,109","-185,095","29,910",0
2021-02-08,418.95,-4.35,"305,694","-322,853","20,201","-2,083","539,249","-22,608","-2,254","17,558","-2,386","1,631","-225,495",0,-959,"-323,812","-2,083",0
2021-02-05,423.3,4.99,"318,181","282,051","-595,351","-3,925","581,062","-62,448","-8,632","9,378","2,018","1,898","-205,095",0,-956,"281,095","-3,925",0
2021-02-04,418.31,-6.9,"-1,795,642","-674,910","2,450,426","12,201","-1,274,979","-28,794","-103,754","-38,806","1,098","1,238","-351,645",0,"7,925","-666,985","12,201",0
2021-02-03,425.21,4.18,"-567,326","459,566","83,364","25,758","-218,081","-42,770","16,514","16,326","1,313","-2,014","-338,614",0,"-1,362","458,204","25,758",0
2021-02-02,421.03,5.58,"124,396","221,682","-363,511","15,181","423,565","-27,734","47,156","17,469","1,400","-9,386","-328,074",0,"2,252","223,934","15,181",0
2021-02-01,415.45,10.89,"688,579","153,052","-812,489","-29,936","732,286","13,649","118,018","32,820","3,185","-6,346","-205,034",0,795,"153,846","-29,936",0
2021-01-29,404.56,-11.84,"-220,231","-1,240,271","1,480,868","-25,950","-26,642","-14,761","15,660","-84,990","6,054","-2,181","-113,371",0,"5,584","-1,234,687","-25,950",0
2021-01-28,416.4,-7.27,"-357,688","-1,420,732","1,762,813","5,925","-111,906","-11,079","69,936","-48,911","1,457","-3,221","-253,965",0,"9,682","-1,411,050","5,925",0
2021-01-27,423.67,-3.06,"-355,762","-495,339","881,889","-38,216","125,345","-36,591","-139,585","-60,212","1,846","-1,115","-245,449",0,"7,427","-487,912","-38,216",0
2021-01-26,426.73,-10.57,"-2,170,906","-1,866,386","3,998,570","24,781","-766,047","-306,433","-257,176","-210,403","1,509","-3,357","-628,999",0,"13,941","-1,852,445","24,781",0
2021-01-25,437.3,10.17,"420,817","364,516","-756,888","-23,643","749,410","-74,505","-16,348","-25,807","-2,860","-4,078","-204,995",0,"-4,801","359,715","-23,643",0
2021-01-22,427.13,-3.14,"-1,317,399","-161,537","1,444,879","31,391","-659,154","-79,310","-122,725","-101,166",225,"-1,001","-354,267",0,"2,666","-158,871","31,391",0
2021-01-21,430.27,6.26,"-229,519","345,363","-127,444","10,175","250,214","-67,894","-19,405","5,229","-5,442","-158,553","-233,667",0,"1,425","346,788","10,175",0
2021-01-20,424.01,2.66,"-1,205,260","-158,156","1,323,162","38,310","-716,929","-52,773","-34,274","-23,402","-1,645","-2,166","-374,070",0,"1,944","-156,212","38,310",0
2021-01-19,421.35,10.85,"631,380","402,239","-1,060,319","27,358","1,001,105","-8,486","4,423","8,393","-1,318",-258,"-372,479",0,-659,"401,581","27,358",0
2021-01-18,410.5,-9.93,"-238,410","-137,305","399,650","-23,786","238,684","-60,949","21,109","-16,519","-3,378","-4,045","-413,313",0,-148,"-137,453","-23,786",0
2021-01-15,420.43,-9.42,"-1,343,916","-634,768","1,937,340","39,394","-630,335","-61,137","-116,311","-42,899","1,412","-4,416","-490,229",0,"1,951","-632,817","39,394",0
2021-01-14,429.85,-0.53,"-1,331,153","650,803","634,807","39,889","-482,762","-72,769","-155,802","-42,637","-15,650","-2,355","-559,178",0,"5,655","656,457","39,889",0
2021-01-13,430.38,2.51,"-268,083","325,476","-65,394","3,333","514,257","-122,775","-281,352","-69,647","-4,119","-18,024","-286,422",0,"4,668","330,144","3,333",0
2021-01-12,427.87,-3.26,"-1,637,500","-373,353","1,966,107","36,684","-938,508","-91,996","-231,874","-79,686","-4,164","-11,567","-279,705",0,"8,062","-365,291","36,684",0
2021-01-11,431.13,0.91,"-3,639,055","-488,925","4,151,480","-27,886","-2,013,795","-262,962","-366,511","-171,472","1,907","-14,787","-811,434",0,"4,386","-484,539","-27,886",0
2021-01-08,430.22,19.41,"-1,076,401","1,573,558","-550,784","56,951","-171,212","-226,753","-87,955","9,613","-5,647","-8,226","-586,220",0,"-3,325","1,570,234","56,951",0
2021-01-07,410.81,8.73,"1,084,292","103,274","-1,227,203","38,217","1,621,230","-91,225","-3,717","4,686","-7,265","-1,742","-437,676",0,"1,420","104,694","38,217",0
2021-01-06,402.08,-3.95,"-1,274,325","-297,629","1,520,613","46,925","-462,887","-104,613","-149,754","-115,324","-21,989","-3,799","-415,960",0,"4,417","-293,213","46,925",0
2021-01-05,406.03,6.15,"-484,364","-183,971","648,841","19,344","43,780","-93,778","-55,250","-57,609","3,393",159,"-325,060",0,151,"-183,820","19,344",0
2021-01-04,399.88,10.59,"-1,120,377","192,077","845,981","78,084","-164,123","-162,055","-283,624","-189,451",-114,"4,031","-325,040",0,"4,235","196,312","78,084",0
2020-12-30,389.29,8.02,"238,730","250,934","-542,236","55,037","540,006","-49,361","-86,067","-71,563","-7,223","-2,961","-84,103",0,"-2,465","248,469","55,037",0
2020-12-29,381.27,1.34,"-1,871,565","-248,341","2,028,437","86,171","-1,414,729","-48,508","-120,351","-74,318","-43,775",-847,"-169,036",0,"5,298","-243,043","86,171",0
2020-12-28,379.93,0.75,"977,514","177,596","-1,178,691","17,888","1,098,630","-33,897","-44,023","5,767","9,717","-12,804","-45,876",0,"5,693","183,290","17,888",0
2020-12-24,379.18,7.86,"734,842","162,810","-939,165","45,377","785,125","-45,708","42,689","33,000","-2,932","-1,301","-76,031",0,"-3,865","158,946","45,377",0
2020-12-23,371.32,4.89,"329,222","87,475","-412,902","-1,331","383,946","-9,324","-16,245","-56,734","-1,601","1,044","28,135",0,"-2,464","85,011","-1,331",0
2020-12-22,366.43,-5.75,"-140,001","-74,199","234,846","3,465","-51,316","-17,828","-26,466","-40,605","1,436","2,075","-7,295",0,"-24,111","-98,310","3,465",0
2020-12-21,372.18,0.63,"182,453","48,763","-191,384","-37,987","58,262","7,952","9,457","22,873",-463,"-5,323","89,696",0,"-1,845","46,918","-37,987",0
2020-12-18,371.55,-0.45,"-72,773","-116,251","248,403","-62,636","54,418","2,765","-53,199","-22,889","-1,476","2,618","-55,010",0,"3,257","-112,994","-62,636",0
2020-12-17,372,-0.53,"37,352","-109,398","120,496","-48,294","225,588","-13,476","-54,519","-55,105","-6,853","-7,722","-50,562",0,-155,"-109,553","-48,294",0
2020-12-16,372.53,1.65,"221,497","43,608","-245,663","-18,912","309,262","-58,231","-20,213","-10,658","-1,682",-287,"3,308",0,-529,"43,079","-18,912",0
2020-12-15,370.88,-0.68,"-194,793","-175,328","343,590","29,450",443,"-35,058","-44,471","-39,520",-709,"-4,754","-70,724",0,"-2,918","-178,246","29,450",0
2020-12-14,371.56,-0.68,"-616,168","-136,447","715,304","28,065","-410,372","-50,267","-45,250","-16,318",27,897,"-94,885",0,"9,246","-127,201","28,065",0
2020-12-11,372.24,2.87,"250,135","-132,920","-113,959","4,766","297,227","-22,119","-67,900","2,608",-262,-128,"40,710",0,"-8,021","-140,942","4,766",0
2020-12-10,369.37,-2.1,"155,461","-1,212,800","1,025,255","29,446","967,120","-60,409","-300,936","-7,287","10,108","8,593","-461,728",0,"2,638","-1,210,162","29,446",0
2020-12-09,371.47,8.02,"312,853","154,785","-508,945","41,009","533,043","-45,933","-40,406","22,875","5,688","1,304","-163,718",0,298,"155,083","41,009",0
2020-12-08,363.45,-6.41,"-212,962","-734,681","944,179","-3,173","21,671","-58,792","-101,515","-43,124","-4,268",-873,"-26,060",0,"6,636","-728,044","-3,173",0
2020-12-07,369.86,2.23,"-820,157","65,924","734,794","17,729","-391,386","-62,398","-129,867","-48,840","-5,371","-1,687","-180,608",0,"1,710","67,634","17,729",0
2020-12-04,367.63,5.97,"-350,957","851,689","-489,772","-9,969","44,090","-80,549","-35,313","-35,858","-2,345","-20,530","-220,451",0,-991,"850,698","-9,969",0
2020-12-03,361.66,3,"-362,374","371,767","-1,829","-4,709","-132,901","-44,689","-70,145","3,667",607,"-10,436","-108,477",0,"-2,854","368,913","-4,709",0
2020-12-02,358.66,6.26,"-243,628","562,624","-305,054","-14,436","-159,505","-24,661","-7,155","-15,073","-2,486","1,246","-35,994",0,495,"563,119","-14,436",0
2020-12-01,352.4,6.35,"287,221","95,936","-390,429","8,494","339,168","-26,961","6,517","7,862","4,203","-8,507","-35,061",0,"-1,223","94,713","8,494",0
2020-11-30,346.05,-6.68,"205,538","-2,309,733","2,082,046","11,046","327,770","-34,440","-71,145","-2,970","7,879","1,717","-23,274",0,"11,104","-2,298,630","11,046",0
2020-11-27,352.73,0.61,"-258,826","160,997","88,045","11,118","-95,487","-2,935","-68,286","-63,924",-334,"-2,257","-25,603",0,"-1,335","159,662","11,118",0
2020-11-26,352.12,3.82,"-487,552","245,773","224,726","16,146","-183,648","-14,934","-118,923","-24,522",577,"5,250","-151,353",0,906,"246,680","16,146",0
2020-11-25,348.3,-1.98,"-317,651","101,384","252,320","-39,400","191,357","-48,805","-163,702","-55,269",497,"-2,723","-239,006",0,"3,348","104,732","-39,400",0
2020-11-24,350.28,1.82,"-627,583","699,110","-70,292",-535,"-237,160","-52,504","-87,102","-68,240","-1,081",-249,"-181,247",0,-699,"698,410",-535,0
2020-11-23,348.46,7.84,"-13,074","975,401","-910,162","-47,431","17,300","-56,551","-39,341","12,238","-1,639","-3,401","58,321",0,"-4,734","970,667","-47,431",0
2020-11-20,340.62,0.46,"-209,977","127,351","73,992","8,491","-38,555","-36,356","-111,642",-752,-53,"1,515","-24,134",0,144,"127,495","8,491",0
2020-11-19,340.16,0.2,"-267,081","163,210","109,714","-6,799","-158,666","-11,377","-36,806","-25,038","1,324","-1,185","-35,334",0,957,"164,167","-6,799",0
2020-11-18,339.96,0.11,"108,546","118,813","-206,170","-21,255","201,424","-28,513","-104,909","-31,278","1,834",225,"69,763",0,67,"118,879","-21,255",0
2020-11-17,339.85,-0.78,"-496,088","369,099","119,404","1,659","-258,677","-59,568","-96,965","-25,456","-1,743","3,654","-57,332",0,"5,926","375,025","1,659",0
2020-11-16,340.63,7.6,"-282,555","567,394","-267,894","-13,894","120,329","-90,097","-71,138","5,865","-5,935","-21,875","-219,704",0,"-3,051","564,342","-13,894",0
2020-11-13,333.03,3.31,"114,839","610,823","-693,106","-29,054","154,796","-25,087","-53,550","11,430","6,391","-3,133","23,991",0,"-3,501","607,322","-29,054",0
