일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-03-03,"3,109.73",34.22,"32,961","129,245","-161,882",-879,"44,247","-8,474","13,354",461,234,"-1,975","-14,887",0,556,"129,801",-879,0
2021-03-02,"3,075.51",-1.36,"-35,378","-52,275","93,592","-4,705","28,920","-11,415","-11,231","-7,820",341,221,"-34,395",0,"-1,234","-53,509","-4,705",0
2021-02-26,"3,076.87",-32.4,"-60,181","-134,573","184,695","9,219","-55,681","2,887","-4,540","-17,169","-1,365",-866,"16,553",0,839,"-133,733","9,219",0
2021-02-25,"3,109.27",88.59,"55,941","95,652","-154,211","2,644","66,596","3,363","-13,476","-4,358",194,"1,043","2,577",0,-25,"95,627","2,644",0
2021-02-24,"3,020.68",-103.24,"-18,851","-14,536","19,629","13,448","15,761","-12,663","-18,374","-12,297",437,58,"8,225",0,310,"-14,226","13,448",0
2021-02-23,"3,123.92",-13.56,"15,569","-3,229","71,917","-86,535","12,378","5,653","12,180","-3,734","-30,152","9,452","9,791",0,"2,277",-952,"-86,535",0
2021-02-22,"3,137.48",-7.55,"-9,003","31,518","-20,753","-2,425","-7,807",219,"16,387","-8,067",294,-172,"-9,858",0,664,"32,181","-2,425",0
2021-02-19,"3,145.03",6.77,"-52,778","-47,036","100,517",-228,"-22,450","-8,027","-11,038","-9,060",186,-143,"-2,245",0,-475,"-47,511",-228,0
2021-02-18,"3,138.26",-31,"-19,276","-89,252","104,524","2,220","-29,920","7,168","5,597","-1,608","1,766",441,"-2,719",0,"1,783","-87,468","2,220",0
2021-02-17,"3,169.26",-9.57,"-128,416","-38,459","162,897","3,955","-53,422",985,"-18,184","-4,104","2,347","-1,059","-54,978",0,23,"-38,435","3,955",0
2021-02-16,"3,178.83",-0.36,"-77,258","-41,214","117,738",-600,"-28,542","-11,142","-14,455","-2,785",-464,-369,"-19,501",0,"1,333","-39,881",-600,0
2021-02-15,"3,179.19",16.73,"-42,632","16,678","25,941",-66,"-7,045","-13,425","4,472","4,532",-714,-434,"-30,019",0,78,"16,757",-66,0
2021-02-10,"3,162.46",27.34,"-59,022","122,457","-69,216","5,586","-19,488","5,247","6,872","-3,580","-24,772",404,"-23,706",0,195,"122,652","5,586",0
2021-02-09,"3,135.12",-3.44,"45,302","22,911","-67,108",-725,"27,330","-3,197","13,081","10,079",-752,"2,355","-3,593",0,-380,"22,531",-725,0
2021-02-08,"3,138.56",7.62,"12,989","-7,052","-5,920",-507,"37,999","4,127","-5,546","-4,464","-6,851",959,"-13,234",0,490,"-6,562",-507,0
2021-02-05,"3,130.94",30.52,"57,292","-3,922","-63,580","8,875","41,678","-4,990","16,276","8,172",-19,-169,"-3,656",0,"1,334","-2,587","8,875",0
2021-02-04,"3,100.42",-26.33,"-178,335","-122,798","296,481","3,475","-91,768",-166,"-22,078","-20,336","-1,671","-1,369","-40,946",0,"1,178","-121,621","3,475",0
2021-02-03,"3,126.75",39.78,"-40,016","9,283","36,421","-6,205","-11,370","11,331","14,193","11,850",630,"-1,020","-65,630",0,518,"9,801","-6,205",0
2021-02-02,"3,086.97",29.39,"-24,605","-3,667","24,520","3,121","22,414","-4,877","6,664","-12,778",944,"-3,167","-33,805",0,631,"-3,036","3,121",0
2021-02-01,"3,057.58",88.91,"40,249","64,775","-102,050",-487,"37,246","2,046","8,947",-746,"-1,702",-575,"-4,967",0,"-2,487","62,288",-487,0
2021-01-29,"2,968.67",-102.83,"-61,673","-134,254","195,334",-744,"-29,391","-4,283","8,453","-35,020","1,201",-288,"-2,346",0,"1,338","-132,917",-744,0
2021-01-28,"3,071.50",-68.43,"-27,047","-111,694","128,878","5,864","-10,826",-58,"1,732","-2,247","-4,589","-1,228","-9,831",0,"3,999","-107,695","5,864",0
2021-01-27,"3,139.93",-27.38,"-39,924","-20,987","57,156","3,714","15,578","-6,415","-24,948","-14,801","-1,253","-3,661","-4,425",0,41,"-20,946","3,714",0
2021-01-26,"3,167.31",-32.19,"-166,040","-32,434","193,423","4,474","-57,163","-20,480","-37,010","-6,656",-47,"1,712","-46,397",0,577,"-31,858","4,474",0
2021-01-25,"3,199.50",40.25,"-52,790","17,759","80,676","-45,244","40,806","-5,876","-27,448","-9,189","-16,572","2,753","-37,264",0,-401,"17,358","-45,244",0
2021-01-22,"3,159.25",7.06,"-71,185","72,040",-591,-33,"-50,210","-5,617","-7,901","-8,979",-958,"2,714",-234,0,-232,"71,809",-33,0
2021-01-21,"3,152.19",51.35,"-175,691","251,095","-63,026","-14,966","16,190","-6,651","-3,477","17,866","-4,636","-155,882","-39,101",0,"2,588","253,683","-14,966",0
2021-01-20,"3,100.84",30.79,"-81,116","45,128","37,286",35,"-51,797","-1,669","-3,241","4,625","-1,111","1,596","-29,519",0,"-1,333","43,795",35,0
2021-01-19,"3,070.05",66.87,"51,931","65,861","-122,036","3,309","64,262","2,508","1,692",-733,"-1,885",557,"-14,471",0,935,"66,796","3,309",0
2021-01-18,"3,003.18",-67.48,-567,"-14,929","4,945","10,165","7,614","-1,106","5,489","14,376",-377,"2,477","-29,040",0,386,"-14,543","10,165",0
2021-01-15,"3,070.66",-35.21,"-103,627","-75,826","178,718",666,"-59,693","-6,833","-16,147","-3,024","-2,060",157,"-16,027",0,69,"-75,757",666,0
2021-01-14,"3,105.87",29.43,"-129,071","58,983","63,328","5,775","-37,460","-8,729","-37,750","-6,674","-12,337","1,083","-27,204",0,985,"59,969","5,775",0
2021-01-13,"3,076.44",15.47,"-58,492",804,"46,774","9,932","32,854","-21,395","-43,599","5,235","-1,981","-2,463","-27,143",0,983,"1,786","9,932",0
2021-01-12,"3,060.97",-6.48,"-139,741","12,681","113,582","12,784","-59,339","-8,658","-40,647","-11,668",-58,62,"-19,432",0,694,"13,374","12,784",0
2021-01-11,"3,067.45",-68.52,"-259,421","33,625","209,734","14,513","-140,006","-24,811","-51,992","-14,824",-794,"2,025","-29,019",0,"1,549","35,174","14,513",0
2021-01-08,"3,135.97",14.53,"-155,864","76,303","78,161","3,041","-35,780","-22,772","-19,702","-20,161","-1,068","-3,295","-53,087",0,"-1,640","74,663","3,041",0
2021-01-07,"3,121.44",56.83,"24,740","52,482","-92,496","15,762","80,590","-9,390","-3,320","-14,377",-131,152,"-28,784",0,-487,"51,995","15,762",0
2021-01-06,"3,064.61",-8.63,"-93,267","136,077","-48,412","5,613","-27,598","6,411","-27,903","3,076","-3,583",-107,"-43,563",0,-10,"136,067","5,613",0
2021-01-05,"3,073.24",47.7,"-43,443","32,978","8,952","4,778","-4,741","-9,021","-1,216","-10,984","-4,473","1,512","-14,521",0,"-3,265","29,713","4,778",0
2021-01-04,"3,025.54",71.55,"-90,286","63,708","20,058","4,647","-18,685","-42,658","-35,792","-13,893","-3,579","3,341","20,979",0,"1,873","65,581","4,647",0
2020-12-30,"2,953.99",45.9,"35,210","-7,388","-25,385","-1,955","36,562","-3,736","-13,365","-19,391","-2,035","-1,684","38,859",0,-481,"-7,869","-1,955",0
2020-12-29,"2,908.09",42.4,"-113,824","-26,817","130,398","11,864","-103,306",685,"-3,303","-6,888",-464,"1,916","-2,464",0,"-1,622","-28,439","11,864",0
2020-12-28,"2,865.69",-20.11,"91,250","129,490","-221,374","-1,494","84,069","-1,797","-9,345","13,219","1,087","1,266","2,750",0,"2,128","131,618","-1,494",0
2020-12-24,"2,885.80",20.48,"-6,592","6,140","2,686","-2,033","-4,601","-5,093","1,129","4,270","-1,891","2,079","-2,485",0,-202,"5,938","-2,033",0
2020-12-23,"2,865.32",-47.63,"3,627","37,325","-43,031","2,080","25,781",905,"-22,532","1,233","-3,347","2,541",-955,0,0,"37,324","2,080",0
2020-12-22,"2,912.95",-68.43,"-42,909","-39,092","90,944","15,406","-19,778","-3,418","-15,912","-8,621",-110,-249,"5,178",0,"-24,349","-63,441","15,406",0
2020-12-21,"2,981.38",6.71,"-18,215","28,106","-12,015","1,038","-11,415","-4,299","-8,360","-1,837","-1,093","-1,891","10,678",0,"1,087","29,193","1,038",0
2020-12-18,"2,974.67",30.16,"23,212","-59,571","31,895",691,116,"5,323","-4,992","-4,923",-890,"1,849","26,729",0,"3,772","-55,799",691,0
2020-12-17,"2,944.51",21.66,"-14,131","-7,530","24,373","-4,734","-1,516","-6,172","-11,270","-15,584","-1,449","-6,198","28,057",0,"2,022","-5,508","-4,734",0
2020-12-16,"2,922.85",25.34,"65,605","123,432","-158,010","-31,209","35,737","-3,323","1,797","3,539","-1,168","1,190","27,833",0,183,"123,615","-31,209",0
2020-12-15,"2,897.51",-4.14,"-1,782","-6,559",-486,"10,073","-10,421","3,970","-14,249","1,137",-307,"1,566","16,522",0,"-1,246","-7,805","10,073",0
2020-12-14,"2,901.65",-0.79,"-39,180","-6,838","39,498","2,097","-47,778","7,388","-16,969","-3,718",673,"-2,784","24,008",0,"4,423","-2,415","2,097",0
2020-12-11,"2,902.44",18.26,"26,390","-45,258","23,656","4,412","3,862","4,264","-11,102","12,199",-589,911,"16,844",0,"-9,200","-54,458","4,412",0
2020-12-10,"2,884.18",33.94,"259,700","-61,451","-200,639",-97,"24,046","52,418","136,540","10,497",-909,"2,368","34,741",0,"2,487","-58,965",-97,0
2020-12-09,"2,850.24",44.97,"11,994","106,896","-117,254","-1,759","20,705","-10,241","-3,203","6,224","-1,198","1,308","-1,603",0,123,"107,020","-1,759",0
