N;종목명;현재가;전일비;등락률;액면가;시가총액;상장주식수;외국인비율;거래량;PER;ROE
1;삼성전자;81,700;200;0.25;100;4,877,312;5,969,783;54.59;15,579,461;21.27;9.99
2;SK하이닉스;131,500;3,500;2.73;5,000;957,323;728,002;49.85;4,060,478;20.13;9.53
3;LG화학;907,000;25,000;-2.68;5,000;640,273;70,592;45.37;336,570;138.49;2.93
4;삼성전자우;74,000;700;0.95;100;608,936;822,887;77.2;1,213,470;19.27;0.0
5;NAVER;363,000;3,500;0.97;100;596,276;164,263;56.91;505,596;59.54;15.22
6;삼성바이오로직스;773,000;31,000;-3.86;2,500;511,455;66,165;10.28;106,563;212.25;0.0
7;카카오;114,500;1,000;0.88;100;508,162;443,809;33.49;2,817,563;322.54;2.7
8;현대차;218,000;6,000;2.83;5,000;465,797;213,668;30.42;1,181,554;42.39;2.04
9;삼성SDI;639,000;15,000;-2.29;5,000;439,405;68,765;42.78;256,337;78.25;4.54
10;셀트리온;249,500;16,500;-6.2;1,000;343,570;137,703;21.1;1,870,634;67.12;16.68
11;기아;80,100;3,100;4.03;5,000;324,696;405,363;32.85;3,384,963;21.83;5.05
12;POSCO;368,000;4,000;1.1;5,000;320,848;87,187;54.66;359,469;20.03;3.61
13;현대모비스;272,500;2,500;0.93;5,000;258,311;94,793;37.82;522,533;16.94;4.66
14;LG전자;155,000;2,500;-1.59;5,000;253,654;163,648;31.08;1,402,187;14.24;13.23
15;삼성물산;132,000;4,000;-2.94;100;246,691;186,887;14.93;835,578;24.14;3.81
16;SK텔레콤;304,000;500;0.16;500;245,467;80,746;39.53;207,336;16.32;6.44
17;LG생활건강;1,565,000;26,000;1.69;5,000;244,425;15,618;46.01;28,929;34.76;17.92
18;SK이노베이션;255,500;15,000;-5.55;5,000;236,250;92,466;22.96;1,114,471;-11.02;-13.58
19;KB금융;53,700;1,000;-1.83;5,000;223,289;415,808;69.26;1,294,161;6.46;8.53
20;LG;126,500;0;0.0;5,000;218,285;172,557;34.67;0;15.18;7.5
21;신한지주;39,050;950;-2.37;5,000;201,732;516,600;60.62;1,696,425;5.79;8.2
22;SK;274,000;2,000;-0.72;200;192,787;70,360;21.08;163,584;102.62;1.11
23;엔씨소프트;820,000;10,000;-1.2;500;180,023;21,954;52.03;52,894;30.65;20.83
24;삼성생명;85,000;3,300;4.04;500;170,000;200,000;13.11;1,841,757;13.43;3.53
25;아모레퍼시픽;270,000;500;-0.18;500;157,838;58,458;33.73;198,170;530.45;0.78
26;한국전력;23,450;200;-0.85;5,000;150,541;641,964;16.57;2,318,817;7.56;2.91
27;삼성에스디에스;181,500;1,500;-0.82;500;140,441;77,378;11.63;117,148;31.67;6.71
28;삼성전기;177,000;2,000;-1.12;5,000;132,208;74,694;34.78;382,116;22.74;10.92
29;하나금융지주;43,950;1,700;-3.72;5,000;131,956;300,242;69.42;1,761,984;5.0;8.96
30;HMM;36,950;2,250;-5.74;5,000;127,623;345,392;12.22;16,228,647;96.22;8.93
31;SK바이오사이언스;149,500;2,500;-1.64;500;114,368;76,500;2.78;608,700;278.4;13.25
32;KT&G;83,300;900;1.09;5,000;114,365;137,292;40.12;423,849;9.76;13.22
33;포스코케미칼;143,500;5,500;-3.69;500;111,160;77,463;7.82;446,672;311.28;2.96
34;넷마블;126,000;3,500;-2.7;100;108,301;85,954;24.07;267,965;34.55;6.35
35;한국조선해양;153,000;500;-0.33;5,000;108,283;70,773;18.49;743,572;-12.99;-7.42
36;S-Oil;89,900;2,800;3.21;2,500;101,212;112,583;76.19;1,159,349;-13.17;-13.07
37;롯데케미칼;286,500;17,500;-5.76;5,000;98,199;34,275;25.89;479,661;61.97;1.22
38;삼성화재;202,500;4,500;2.27;500;95,934;47,375;47.26;151,595;13.56;4.96
39;대한항공;26,400;500;-1.86;5,000;91,825;347,821;10.61;2,465,202;-22.28;-7.22
40;한온시스템;16,300;100;0.62;100;87,009;533,800;19.4;1,396,454;78.74;5.09
41;한화솔루션;45,400;650;-1.41;5,000;86,840;191,278;17.43;1,211,089;24.63;5.3
42;LG디스플레이;24,100;200;-0.82;5,000;86,234;357,816;24.06;7,016,147;-96.4;-0.79
43;하이브;236,500;6,500;-2.67;500;84,250;35,624;8.49;194,056;0.0;12.52
44;고려아연;442,500;3,500;-0.78;5,000;83,500;18,870;22.11;77,155;14.57;8.37
45;SK바이오팜;105,000;4,000;-3.67;500;82,229;78,313;7.48;387,836;-30.51;-135.18
46;금호석유;263,500;3,500;1.35;5,000;80,282;30,468;25.05;816,455;15.14;20.18
47;우리금융지주;10,550;150;-1.4;5,000;76,199;722,268;26.97;2,075,066;5.83;5.87
48;KT;28,450;100;0.35;5,000;74,286;261,112;43.12;797,222;11.29;4.76
49;현대제철;55,000;500;-0.9;5,000;73,395;133,446;20.35;1,624,667;-17.07;-2.59
50;현대글로비스;192,500;500;0.26;500;72,188;37,500;33.31;162,215;11.91;12.45
