일자,개인,외국인,기관계,금융투자,보험,투신(사모),은행,기타금융기관,연기금등,기타법인
21.05.27,474,-2843,2684,2679,-2,571,-484,-278,198,-314
21.05.26,-2398,-187,2870,2626,-20,516,-36,-4,-213,-284
21.05.25,-9679,683,8838,7953,61,514,-25,92,242,159
21.05.24,1760,-2233,370,682,-153,-197,-4,-234,275,103
21.05.21,594,-1351,568,1120,-65,-194,-7,-42,-244,189
21.05.20,8222,-5115,-2818,-897,-303,-394,1,-852,-373,-290
21.05.18,-6398,-3473,9741,9634,3,-26,-75,-14,220,131
21.05.17,7197,-6000,-1444,-893,-72,-233,-398,88,64,247
21.05.14,4044,-4190,393,-819,-84,208,-13,168,932,-246
21.05.13,14425,-14298,24,702,244,27,-15,32,-966,-151
21.05.12,29895,-27005,-2574,-2133,-389,-899,-91,-19,957,-315
21.05.11,35602,-20222,-13513,-11600,-16,-474,-7,-11,-1405,-1867
21.05.10,-11984,2357,9705,7841,-6,1639,12,1,218,-79
21.05.07,-1457,-1950,3482,3170,-94,9,10,25,362,-75
21.05.06,-896,-984,2001,1927,-18,345,-66,-25,-163,-121
21.05.04,-1194,-730,1679,687,-117,781,10,-4,322,245
21.05.03,5877,-4404,-1391,-1062,-171,-170,-13,-8,33,-82
21.04.30,7876,-5628,-1934,-1604,-112,598,4,5,-826,-314
21.04.29,348,-192,-115,829,-58,-219,-112,53,-607,-42
21.04.28,10572,-5929,-4347,-843,-38,-2592,-63,-40,-771,-296
21.04.27,4484,-1667,-1064,844,-127,-582,-51,-23,-1125,-1753
21.04.26,-3385,3922,-462,220,-46,96,2,18,-752,-75
21.04.23,2268,-240,-2123,170,-103,-218,-8,54,-2018,96
21.04.22,3527,-1532,-2329,-571,-169,437,-24,-18,-1984,334
21.04.21,27116,-14286,-12837,-7632,-330,-2266,-15,21,-2615,7
21.04.20,-3902,3281,463,3003,161,-1343,-54,-10,-1293,157
21.04.19,3955,-3201,-1314,185,77,-1100,-16,-88,-372,560
21.04.16,4701,2765,-4674,-3832,-171,-977,-196,-30,531,-2791
21.04.15,2849,2632,-5045,-841,-392,268,78,-113,-4045,-436
21.04.14,-3003,1050,1780,3868,-30,-562,-194,-18,-1284,173
21.04.13,-4648,4427,87,1431,-3,14,-288,-19,-1049,134
21.04.12,6878,-3247,-3862,-2317,-306,-62,21,21,-1220,231
21.04.09,7190,-1525,-5762,-3197,-148,-52,-335,140,-2170,97
21.04.08,3641,1079,-4821,-3511,324,-94,-38,-25,-1477,101
21.04.07,-219,3242,-3267,-830,-370,-536,-32,-100,-1400,244
21.04.06,-378,5817,-5133,-3346,-358,165,-30,-34,-1531,-305
21.04.05,2129,1706,-3812,-1548,-101,-200,-24,9,-1948,-22
21.04.02,-9488,5634,3715,4527,-189,-324,-64,3,-238,139
21.04.01,-4155,5748,-1617,-117,-267,-157,-48,-9,-1019,24
21.03.31,6435,-2938,-3488,-3173,-111,48,25,11,-290,-9
21.03.30,-6048,3467,2539,2959,108,-280,-8,21,-261,42
21.03.29,6592,496,-7031,-4603,-193,-296,-258,-25,-1657,-57
21.03.26,-4195,2957,1389,1850,-10,89,2,-16,-525,-151
21.03.25,1725,-827,-1273,1585,-70,-467,-11,-22,-2288,375
21.03.24,8963,-4780,-4335,-670,-90,-1312,44,-46,-2262,153
21.03.23,10170,-4769,-5409,-691,-191,-1139,0,10,-3399,8
21.03.22,5831,-5465,-339,2628,-251,-879,-74,-19,-1744,-27
21.03.19,16029,-5806,-10018,-5917,-73,-1600,-59,-173,-2196,-206
21.03.18,-6174,4823,1344,3342,-162,152,-64,-30,-1893,7
21.03.17,10483,-5240,-5339,-1723,-139,-1096,24,15,-2421,96
21.03.16,-2340,-262,2491,1561,-148,234,15,-21,851,110
21.03.15,5105,-2133,-3002,-3237,-406,-512,18,28,1105,30
21.03.12,-5997,4070,1833,2366,-93,383,7,20,-850,94
21.03.11,-11110,17069,-5917,-3936,257,713,44,27,-3022,-42
21.03.10,4006,4803,-8891,-789,-340,-307,-4786,-14,-2657,82
21.03.09,3631,-5305,2920,3513,216,-365,-37,14,-421,-1245
21.03.08,5253,-1258,-3777,-873,52,-107,-53,-69,-2728,-219
21.03.05,11931,-3734,-8043,-5186,-141,-753,24,-34,-1954,-153
21.03.04,21992,-9293,-12840,-9612,72,-132,68,-16,-3220,140
21.03.03,-6631,-119,6896,6508,78,784,32,-34,-472,-146
