N;종목명;현재가;전일비;등락률;액면가;시가총액;상장주식수;외국인비율;거래량;PER;ROE
1;삼성전자;79,600;0;0.0;100;4,751,947;5,969,783;53.84;17,274,081;20.72;9.99
2;SK하이닉스;121,000;3,500;2.98;5,000;880,883;728,002;48.95;3,447,905;18.52;9.53
3;LG화학;881,000;21,000;2.44;5,000;621,919;70,592;45.59;182,343;134.52;2.93
4;삼성전자우;73,600;300;-0.41;100;605,645;822,887;76.93;813,948;19.16;0.0
5;삼성바이오로직스;894,000;20,000;2.29;2,500;591,515;66,165;10.24;395,263;245.47;0.0
6;NAVER;349,500;5,500;1.6;100;574,101;164,263;56.59;443,583;57.32;15.22
7;카카오;113,000;2,500;2.26;100;501,505;443,809;32.73;1,568,526;318.31;2.7
8;현대차;231,000;4,000;1.76;5,000;493,574;213,668;30.03;1,027,257;44.92;2.04
9;삼성SDI;631,000;8,000;1.28;5,000;433,904;68,765;42.4;182,870;77.27;4.54
10;셀트리온;272,000;2,500;0.93;1,000;375,133;137,917;20.59;435,784;73.18;16.68
11;기아;83,000;1,400;1.72;5,000;336,452;405,363;32.78;1,989,382;22.62;5.05
12;POSCO;385,500;18,500;5.04;5,000;336,105;87,187;54.83;585,905;20.98;3.61
13;현대모비스;278,000;1,500;0.54;5,000;263,525;94,793;37.15;316,505;17.29;4.66
14;삼성물산;139,500;500;-0.36;100;260,707;186,887;14.85;389,790;25.51;3.81
15;SK이노베이션;278,000;4,000;1.46;5,000;257,054;92,466;22.76;691,295;-11.99;-13.58
16;LG전자;150,000;2,500;1.69;5,000;245,472;163,648;30.4;547,748;13.78;13.23
17;KB금융;58,800;900;1.55;5,000;244,495;415,808;69.35;1,151,050;7.08;8.53
18;LG생활건강;1,518,000;0;0.0;5,000;237,084;15,618;45.75;30,189;33.72;17.92
19;SK텔레콤;306,500;500;-0.16;500;220,864;72,060;44.67;286,995;16.45;6.44
20;LG;126,500;0;0.0;5,000;218,285;172,557;34.67;0;15.18;7.5
21;신한지주;41,300;250;0.61;5,000;213,356;516,600;60.64;1,394,855;6.13;8.2
22;SK;269,500;1,000;0.37;200;189,621;70,360;20.71;117,783;100.94;1.11
23;엔씨소프트;823,000;8,000;0.98;500;180,682;21,954;52.3;71,086;30.76;20.83
24;삼성생명;86,100;700;0.82;500;172,200;200,000;13.18;318,486;13.6;3.53
25;아모레퍼시픽;294,000;500;-0.17;500;171,868;58,458;34.1;233,026;577.6;0.78
26;한국전력;23,950;350;1.48;5,000;153,750;641,964;16.35;2,079,871;7.72;2.91
27;HMM;42,850;0;0.0;5,000;148,001;345,392;11.18;10,053,943;111.59;8.93
28;하나금융지주;47,200;800;1.72;5,000;141,714;300,242;69.13;1,136,043;5.37;8.96
29;삼성에스디에스;180,500;1,000;0.56;500;139,667;77,378;11.42;86,696;31.5;6.71
30;삼성전기;165,000;500;0.3;5,000;123,245;74,694;31.98;552,414;21.2;10.92
31;SK바이오사이언스;159,500;0;0.0;500;122,018;76,500;2.97;940,863;297.02;13.25
32;넷마블;134,000;2,500;1.9;100;115,178;85,954;23.71;215,658;36.74;6.35
33;KT&G;82,800;100;0.12;5,000;113,678;137,292;39.73;358,180;9.7;13.22
34;S-Oil;99,900;2,300;2.36;2,500;112,470;112,583;76.36;615,110;-14.63;-13.07
35;포스코케미칼;144,500;1,500;1.05;500;111,934;77,463;7.68;143,982;313.45;2.96
36;한국조선해양;154,000;1,000;0.65;5,000;108,991;70,773;18.21;263,414;-13.07;-7.42
37;대한항공;30,000;500;-1.64;5,000;104,346;347,821;10.83;4,776,745;-25.32;-7.22
38;SK아이이테크놀로지;144,000;6,000;4.35;1,000;102,669;71,298;5.1;1,459,268;0.0;11.0
39;삼성화재;211,000;500;-0.24;500;99,961;47,375;47.74;100,800;14.13;4.96
40;롯데케미칼;284,500;8,500;3.08;5,000;97,514;34,275;25.95;178,670;61.54;1.22
41;하이브;260,500;12,000;4.83;500;92,800;35,624;9.03;393,875;0.0;12.52
42;고려아연;477,500;22,500;4.95;5,000;90,104;18,870;22.23;68,893;15.73;8.37
43;SK바이오팜;113,000;2,000;1.8;500;88,494;78,313;7.16;220,351;-32.83;-135.18
44;한온시스템;16,550;550;3.44;100;88,344;533,800;19.18;909,110;79.95;5.09
45;한화솔루션;44,250;400;-0.9;5,000;84,641;191,278;16.85;968,818;24.01;5.3
46;KT;32,300;1,050;3.36;5,000;84,339;261,112;43.98;2,494,356;12.82;4.76
47;LG디스플레이;23,150;950;4.28;5,000;82,834;357,816;21.86;3,273,215;-92.6;-0.79
48;기업은행;11,000;200;1.85;5,000;81,873;744,301;13.08;2,695,043;5.49;6.44
49;우리금융지주;11,300;200;1.8;5,000;81,616;722,268;26.77;2,039,430;6.24;5.87
50;현대제철;57,500;2,600;4.74;5,000;76,731;133,446;20.64;1,260,999;-17.85;-2.59
