N;종목명;현재가;전일비;등락률;액면가;시가총액;상장주식수;외국인비율;거래량;PER;ROE
1;삼성전자;82,100;400;0.49;100;4,901,191;5,969,783;54.55;8,000,570;21.37;9.99
2;SK하이닉스;130,500;1,000;-0.76;5,000;950,043;728,002;49.91;1,614,490;19.98;9.53
3;LG화학;912,000;5,000;0.55;5,000;643,802;70,592;45.48;192,223;139.26;2.93
4;삼성전자우;74,100;100;0.14;100;609,759;822,887;77.21;567,196;19.29;0.0
5;NAVER;364,500;1,500;0.41;100;598,740;164,263;56.93;247,848;59.78;15.22
6;카카오;115,000;500;0.44;100;510,381;443,809;33.46;1,479,264;323.94;2.7
7;삼성바이오로직스;758,000;15,000;-1.94;2,500;501,531;66,165;10.27;66,749;208.13;0.0
8;현대차;222,500;4,500;2.06;5,000;475,412;213,668;30.5;693,292;43.26;2.04
9;삼성SDI;646,000;7,000;1.1;5,000;444,219;68,765;42.77;136,675;79.11;4.54
10;셀트리온;255,500;6,000;2.4;1,000;351,832;137,703;20.97;1,417,086;68.74;16.68
11;기아;80,600;500;0.62;5,000;326,723;405,363;32.84;1,525,622;21.96;5.05
12;POSCO;373,500;5,500;1.49;5,000;325,643;87,187;54.73;279,078;20.33;3.61
13;현대모비스;273,000;500;0.18;5,000;258,785;94,793;37.66;257,908;16.98;4.66
14;LG전자;153,500;1,500;-0.97;5,000;251,199;163,648;31.18;595,661;14.1;13.23
15;SK이노베이션;269,000;13,500;5.28;5,000;248,732;92,466;22.82;740,283;-11.6;-13.58
16;삼성물산;132,000;0;0.0;100;246,691;186,887;14.77;220,500;24.14;3.81
17;SK텔레콤;304,000;0;0.0;500;245,467;80,746;39.54;360,699;16.32;6.44
18;LG생활건강;1,562,000;3,000;-0.19;5,000;243,956;15,618;46.03;15,983;34.7;17.92
19;KB금융;53,100;600;-1.12;5,000;220,794;415,808;69.25;569,219;6.39;8.53
20;LG;126,500;0;0.0;5,000;218,285;172,557;34.67;0;15.18;7.5
21;신한지주;38,950;100;-0.26;5,000;201,216;516,600;60.62;785,611;5.78;8.2
22;SK;276,000;2,000;0.73;200;194,194;70,360;21.06;281,089;103.37;1.11
23;엔씨소프트;811,000;9,000;-1.1;500;178,047;21,954;52.04;47,021;30.31;20.83
24;삼성생명;83,500;1,500;-1.76;500;167,000;200,000;13.23;627,164;13.19;3.53
25;아모레퍼시픽;264,500;5,500;-2.04;500;154,623;58,458;33.78;116,749;519.65;0.78
26;한국전력;23,150;300;-1.28;5,000;148,615;641,964;16.47;1,631,774;7.46;2.91
27;삼성에스디에스;180,000;1,500;-0.83;500;139,280;77,378;11.58;88,642;31.41;6.71
28;삼성전기;177,500;500;0.28;5,000;132,581;74,694;34.44;223,661;22.81;10.92
29;하나금융지주;43,550;400;-0.91;5,000;130,755;300,242;69.23;559,772;4.96;8.96
30;HMM;34,600;2,350;-6.36;5,000;119,506;345,392;12.04;14,729,427;90.1;8.93
31;SK바이오사이언스;155,000;5,500;3.68;500;118,575;76,500;2.8;632,527;288.64;13.25
32;포스코케미칼;147,000;3,500;2.44;500;113,871;77,463;7.75;225,955;318.87;2.96
33;KT&G;82,900;400;-0.48;5,000;113,815;137,292;40.17;290,265;9.71;13.22
34;넷마블;123,000;3,000;-2.38;100;105,723;85,954;24.02;290,113;33.73;6.35
35;한국조선해양;146,500;6,500;-4.25;5,000;103,683;70,773;18.41;416,963;-12.44;-7.42
36;S-Oil;91,100;1,200;1.33;2,500;102,563;112,583;76.35;590,828;-13.34;-13.07
37;롯데케미칼;282,000;4,500;-1.57;5,000;96,657;34,275;25.79;203,572;61.0;1.22
38;삼성화재;197,000;5,500;-2.72;500;93,328;47,375;47.27;92,599;13.19;4.96
39;대한항공;26,300;100;-0.38;5,000;91,477;347,821;10.36;958,955;-22.19;-7.22
40;한온시스템;16,200;100;-0.61;100;86,476;533,800;19.36;511,445;78.26;5.09
41;한화솔루션;44,400;1,000;-2.2;5,000;84,928;191,278;17.41;1,094,743;24.09;5.3
42;LG디스플레이;23,700;400;-1.66;5,000;84,802;357,816;23.64;3,022,296;-94.8;-0.79
43;하이브;236,500;0;0.0;500;84,250;35,624;8.51;122,475;0.0;12.52
44;고려아연;441,000;1,500;-0.34;5,000;83,217;18,870;22.02;42,745;14.52;8.37
45;SK바이오팜;104,000;1,000;-0.95;500;81,446;78,313;7.55;319,562;-30.21;-135.18
46;금호석유;267,000;3,500;1.33;5,000;81,349;30,468;24.75;510,135;15.34;20.18
47;우리금융지주;10,500;50;-0.47;5,000;75,838;722,268;26.92;1,259,009;5.8;5.87
48;KT;28,800;350;1.23;5,000;75,200;261,112;43.14;712,258;11.43;4.76
49;현대제철;54,300;700;-1.27;5,000;72,461;133,446;20.36;946,651;-16.85;-2.59
50;현대글로비스;191,000;1,500;-0.78;500;71,625;37,500;33.37;140,031;11.82;12.45
