일자;개인;외국인;기관계;금융투자;보험;투신(사모);은행;기타금융기관;연기금등;기타법인
21.05.27;479;-2,844;2,679;2,676;-2;570;-484;-278;198;-314
21.05.26;-2,398;-187;2,870;2,626;-20;516;-36;-4;-213;-284
21.05.25;-9,679;683;8,838;7,953;61;514;-25;92;242;159
21.05.24;1,760;-2,233;370;682;-153;-197;-4;-234;275;103
21.05.21;594;-1,351;568;1,120;-65;-194;-7;-42;-244;189
21.05.20;8,222;-5,115;-2,818;-897;-303;-394;1;-852;-373;-290
21.05.18;-6,398;-3,473;9,741;9,634;3;-26;-75;-14;220;131
21.05.17;7,197;-6,000;-1,444;-893;-72;-233;-398;88;64;247
21.05.14;4,044;-4,190;393;-819;-84;208;-13;168;932;-246
21.05.13;14,425;-14,298;24;702;244;27;-15;32;-966;-151
21.05.12;29,895;-27,005;-2,574;-2,133;-389;-899;-91;-19;957;-315
21.05.11;35,602;-20,222;-13,513;-11,600;-16;-474;-7;-11;-1,405;-1,867
21.05.10;-11,984;2,357;9,705;7,841;-6;1,639;12;1;218;-79
21.05.07;-1,457;-1,950;3,482;3,170;-94;9;10;25;362;-75
21.05.06;-896;-984;2,001;1,927;-18;345;-66;-25;-163;-121
21.05.04;-1,194;-730;1,679;687;-117;781;10;-4;322;245
21.05.03;5,877;-4,404;-1,391;-1,062;-171;-170;-13;-8;33;-82
21.04.30;7,876;-5,628;-1,934;-1,604;-112;598;4;5;-826;-314
21.04.29;348;-192;-115;829;-58;-219;-112;53;-607;-42
21.04.28;10,572;-5,929;-4,347;-843;-38;-2,592;-63;-40;-771;-296
21.04.27;4,484;-1,667;-1,064;844;-127;-582;-51;-23;-1,125;-1,753
21.04.26;-3,385;3,922;-462;220;-46;96;2;18;-752;-75
21.04.23;2,268;-240;-2,123;170;-103;-218;-8;54;-2,018;96
21.04.22;3,527;-1,532;-2,329;-571;-169;437;-24;-18;-1,984;334
21.04.21;27,116;-14,286;-12,837;-7,632;-330;-2,266;-15;21;-2,615;7
21.04.20;-3,902;3,281;463;3,003;161;-1,343;-54;-10;-1,293;157
21.04.19;3,955;-3,201;-1,314;185;77;-1,100;-16;-88;-372;560
21.04.16;4,701;2,765;-4,674;-3,832;-171;-977;-196;-30;531;-2,791
21.04.15;2,849;2,632;-5,045;-841;-392;268;78;-113;-4,045;-436
21.04.14;-3,003;1,050;1,780;3,868;-30;-562;-194;-18;-1,284;173
21.04.13;-4,648;4,427;87;1,431;-3;14;-288;-19;-1,049;134
21.04.12;6,878;-3,247;-3,862;-2,317;-306;-62;21;21;-1,220;231
21.04.09;7,190;-1,525;-5,762;-3,197;-148;-52;-335;140;-2,170;97
21.04.08;3,641;1,079;-4,821;-3,511;324;-94;-38;-25;-1,477;101
21.04.07;-219;3,242;-3,267;-830;-370;-536;-32;-100;-1,400;244
21.04.06;-378;5,817;-5,133;-3,346;-358;165;-30;-34;-1,531;-305
21.04.05;2,129;1,706;-3,812;-1,548;-101;-200;-24;9;-1,948;-22
21.04.02;-9,488;5,634;3,715;4,527;-189;-324;-64;3;-238;139
21.04.01;-4,155;5,748;-1,617;-117;-267;-157;-48;-9;-1,019;24
21.03.31;6,435;-2,938;-3,488;-3,173;-111;48;25;11;-290;-9
21.03.30;-6,048;3,467;2,539;2,959;108;-280;-8;21;-261;42
21.03.29;6,592;496;-7,031;-4,603;-193;-296;-258;-25;-1,657;-57
21.03.26;-4,195;2,957;1,389;1,850;-10;89;2;-16;-525;-151
21.03.25;1,725;-827;-1,273;1,585;-70;-467;-11;-22;-2,288;375
21.03.24;8,963;-4,780;-4,335;-670;-90;-1,312;44;-46;-2,262;153
21.03.23;10,170;-4,769;-5,409;-691;-191;-1,139;0;10;-3,399;8
21.03.22;5,831;-5,465;-339;2,628;-251;-879;-74;-19;-1,744;-27
21.03.19;16,029;-5,806;-10,018;-5,917;-73;-1,600;-59;-173;-2,196;-206
21.03.18;-6,174;4,823;1,344;3,342;-162;152;-64;-30;-1,893;7
21.03.17;10,483;-5,240;-5,339;-1,723;-139;-1,096;24;15;-2,421;96
21.03.16;-2,340;-262;2,491;1,561;-148;234;15;-21;851;110
21.03.15;5,105;-2,133;-3,002;-3,237;-406;-512;18;28;1,105;30
21.03.12;-5,997;4,070;1,833;2,366;-93;383;7;20;-850;94
21.03.11;-11,110;17,069;-5,917;-3,936;257;713;44;27;-3,022;-42
21.03.10;4,006;4,803;-8,891;-789;-340;-307;-4,786;-14;-2,657;82
21.03.09;3,631;-5,305;2,920;3,513;216;-365;-37;14;-421;-1,245
21.03.08;5,253;-1,258;-3,777;-873;52;-107;-53;-69;-2,728;-219
21.03.05;11,931;-3,734;-8,043;-5,186;-141;-753;24;-34;-1,954;-153
21.03.04;21,992;-9,293;-12,840;-9,612;72;-132;68;-16;-3,220;140
21.03.03;-6,631;-119;6,896;6,508;78;784;32;-34;-472;-146
