date,actual,prediction
0,2060.12,2079.22
1,2061.49,2056.76
2,2055.01,2060.37
3,2028.01,2053.3
4,2028.44,2024.53
5,2041.04,2027.99
6,2010,2041.9
7,1993.7,2006.78
8,2010.25,1991.98
9,2037.1,2011.53
10,2025.27,2039.19
11,2064.71,2023.58
12,2063.28,2066.94
13,2075.57,2061.99
14,2064.52,2075.5
15,2097.18,2062.49
16,2106.1,2100.17
17,2107.06,2106.8
18,2124.28,2106.56
19,2124.61,2125.72
20,2117.77,2123.85
21,2127.78,2115.94
22,2145.03,2128.15
23,2177.73,2146.2
24,2177.3,2180.73
25,2183.36,2174.66
26,2206.2,2181.52
27,2204.85,2207.1
28,2203.46,2201.59
29,2203.42,2200.27
30,2177.05,2200.41
31,2180.73,2169.44
32,2190.47,2178.43
33,2201.48,2188.57
34,2225.85,2199.13
35,2196.09,2225.15
36,2210.89,2185.17
37,2205.63,2208.56
38,2229.76,2199.52
39,2228.66,2229.28
40,2230.5,2223.11
41,2232.56,2225.76
42,2226.6,2227.88
43,2234.79,2220.58
44,2195.44,2231.62
45,2190.66,2183.23
46,2179.23,2185.7
47,2175.6,2172.71
48,2165.79,2170.37
49,2137.44,2159.09
50,2138.1,2127.78
51,2157.18,2133.34
52,2148.41,2155.09
53,2155.68,2141.82
54,2176.11,2151.67
55,2179.49,2174.32
56,2177.62,2175.29
57,2177.1,2173.05
58,2184.88,2173.36
59,2186.95,2183.02
60,2144.86,2184.38
61,2148.8,2135.36
62,2145.62,2147.39
63,2128.1,2142.91
64,2140.67,2123.05
65,2168.28,2139.78
66,2177.18,2169.11
67,2203.27,2174.59
68,2206.53,2203.25
69,2209.61,2202.76
70,2210.6,2206.39
71,2213.56,2207.56
72,2224.39,2211.35
73,2224.44,2223.73
74,2233.45,2221.6
75,2242.88,2232.12
76,2248.63,2241.19
77,2245.89,2245.9
78,2213.77,2241.26
79,2216.15,2203.52
80,2216.65,2212.99
81,2220.51,2212.49
82,2201.03,2216.56
83,2190.5,2192.21
84,2179.31,2183.51
85,2216.43,2172.19
86,2203.59,2217.69
87,2212.75,2195.26
88,2196.32,2208.74
89,2176.99,2187.75
90,2168.01,2168.88
91,2102.01,2162.32
92,2108.04,2088.01
93,2079.01,2106.21
94,2081.84,2072.2
95,2092.78,2079.25
96,2067.69,2090.68
97,2055.8,2060.92
98,2055.71,2050.99
99,2061.25,2052.9
100,2064.86,2059.57
101,2059.59,2063.24
102,2045.31,2057.27
103,2044.21,2042.55
104,2048.83,2043.43
105,2023.32,2049.11
106,2038.8,2021.03
107,2041.74,2040.5
108,2067.85,2042.47
109,2066.97,2070.42
110,2069.11,2066.57
111,2072.33,2068.75
112,2099.49,2072.27
113,2111.81,2102.26
114,2108.75,2112.93
115,2103.15,2107.74
116,2095.41,2101.86
117,2090.73,2094.14
118,2098.71,2090.03
