일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,141600.0,0.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,141200.0,142500.0,138700.0,135203.0,0.0,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,141600.0,141600.0,141600.0,0.0,71159.47368421052,0.0,135203.0,0.0,76.31578947368422,76.31578947368422,76.31578947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135203.0,0.0,0.0,0.0,140933.33333333334,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,139700.0,-1900.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,142900.0,143000.0,139500.0,68940.0,-1.36,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,140604.7619047619,140626.82926829267,140640.59405940594,0.0,10098.330827067664,-3300.0,66263.0,0.0,23.25581395348837,49.785801713586295,63.05079559363526,-42.62820512818871,-23.68233618232706,-18.94586894586165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134277.95762711865,0.0,0.0,0.0,140733.33333333334,3299970989.266029,0.0,139700.0,1000.0,0.0
2021-03-11,140000.0,300.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,140000.0,141200.0,139700.0,69453.0,0.21,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,140383.68580060423,140407.61300555113,140422.8205463338,0.0,-31573.46917293233,-3000.0,135716.0,0.0,30.23255813953488,43.26805385556916,56.45654834761322,-45.01381242190837,-32.42474447723743,-12.589067944670937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134427.10508595902,0.0,0.0,0.0,140300.0,-1727787136.624768,0.0,139700.0,140000.0,0.0
2021-03-12,142300.0,2300.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,141000.0,142700.0,140500.0,88670.0,1.62,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,140933.2686920922,140915.87540964587,140906.14595080368,0.0,24852.8944634313,-700.0,224386.0,0.0,83.72093023255815,45.736434108527135,46.26342989256086,38.04496484861011,-8.552891724579055,46.59785657318916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135883.82651453043,0.0,0.0,0.0,141833.33333333334,2853276192.624337,0.0,139700.0,142300.0,0.0
2021-03-15,142300.0,0.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,142200.0,143300.0,141200.0,54316.0,0.0,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,141261.0325793189,141220.34959806627,141196.06539854218,0.0,27439.370653907492,-700.0,224386.0,0.0,78.26086956521739,64.07145264577014,51.02531353662214,82.3769197758229,18.496671429990773,63.88024834583213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135883.82651453043,143419.28560036456,141180.0,138940.71439963544,142266.66666666666,2513071654.7610283,0.0,142300.0,142300.0,0.0
2021-03-16,144000.0,1700.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,142900.0,144500.0,142800.0,84464.0,1.18,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,141832.748156011,141741.9112022762,141686.8249107579,0.0,62218.66477155455,1000.0,308850.0,0.0,90.0,83.99393326592518,64.60060667340748,180.1710199652298,62.319408802930475,117.85161116229932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136892.88343652623,144871.47940986705,141660.0,138448.52059013295,143766.66666666666,2817768516.7645383,0.0,142300.0,144000.0,0.0
2021-03-17,142800.0,-1200.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,144000.0,144500.0,142100.0,88427.0,-0.84,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,142013.36529087543,141916.06235839293,141855.45124460498,0.0,25374.081438221212,-700.0,220423.0,0.0,64.58333333333334,77.61473429951691,75.22670673707074,185.42192385776434,93.47337128704602,91.94855257071832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136155.99176985957,144876.6131787388,142280.0,139683.3868212612,143133.33333333334,-949936105.4881426,0.0,142300.0,142800.0,0.0
2021-03-18,143900.0,1100.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,144000.0,144800.0,143500.0,76308.0,0.76,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,142334.85473594305,142208.40372032975,142129.07961707373,0.0,-3975.1493310095575,400.0,296731.0,0.0,79.06976744186046,77.88436692506461,79.83101149683557,238.27726740657818,128.27247056243968,110.0047968441385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136743.79849254864,144559.86666074023,143060.0,141560.13333925977,144066.66666666666,1448078838.3917806,0.0,143900.0,142800.0,0.0
2021-03-19,144600.0,700.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,142300.0,144600.0,141900.0,58455.0,0.48,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,142692.41932206356,142528.85502685982,142425.8697067024,0.0,54479.850668990446,3100.0,355186.0,0.0,94.44444444444444,79.36584840654609,78.2883165437092,305.9826566843258,169.32440518137494,136.65825150295083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137028.15221040827,145204.75517509223,143520.0,141835.24482490777,143700.0,-4157043879.9076214,0.0,144600.0,142800.0,0.0
2021-03-22,144900.0,300.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,144600.0,145000.0,143200.0,62095.0,0.21,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,142610.0,0.0,0.0,143019.03167585062,142821.3065715532,142695.90532928988,0.0,109675.406224546,4800.0,417281.0,23155.167644321715,96.7741935483871,90.09613514489733,82.44878349216934,365.01214618445374,213.16981882384022,151.84232736061352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137156.98001123813,145485.5448799674,144040.0,142594.4551200326,144366.66666666666,2463966502.939045,0.0,144600.0,144900.0,0.0
