일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,147900.0,-4400.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,150600.0,152000.0,144400.0,268016.0,-2.97,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,147900.0,147900.0,147900.0,0.0,-21159.15789473684,0.0,268016.0,0.0,46.05263157894737,46.05263157894737,46.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268016.0,0.0,0.0,0.0,148100.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,144100.0,-3800.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,150500.0,151900.0,144000.0,170033.0,-2.64,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,145909.5238095238,145953.65853658537,145981.18811881187,0.0,-186887.52498334442,-7800.0,97983.0,0.0,1.25,23.651315789473685,34.85197368421053,-85.25641025637742,-47.36467236465412,-37.8917378917233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263647.3360378634,0.0,0.0,0.0,146666.66666666666,-1161539230.6199386,0.0,144100.0,1000.0,0.0
2021-03-11,147700.0,3600.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,144800.0,149600.0,143600.0,149736.0,2.44,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,146564.04833836856,146564.39333862014,146565.5077767612,0.0,-131984.3249833444,-3700.0,247719.0,0.0,48.80952380952381,32.037385129490396,33.91377749930382,3.0021956457931083,-26.722513343979028,29.724708989772136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267388.1382585435,0.0,0.0,0.0,146966.66666666666,-5409520756.531495,0.0,147700.0,1000.0,0.0
2021-03-12,151400.0,3700.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,149600.0,152800.0,148200.0,120194.0,2.44,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,147950.95884507647,147863.15362083464,147810.265119827,0.0,-84951.89020073571,0.0,367913.0,0.0,84.78260869565217,44.94737750172533,33.54535947356314,176.6574543514289,42.17313966937053,134.48431468205837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270399.09154222667,0.0,0.0,0.0,150800.0,14925869843.7526,0.0,151400.0,1000.0,0.0
2021-03-15,148300.0,-3100.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,151400.0,151400.0,148300.0,93764.0,-2.09,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,148034.66446086054,147959.2493391592,147912.1292038607,0.0,-178715.8902007357,-3100.0,274149.0,0.0,51.08695652173913,61.55969634230504,46.18148632450692,143.94390594941797,72.44764177552457,71.4962641738934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268479.22100061504,152517.93057300342,147880.0,143242.06942699658,149333.33333333334,-2149012414.146154,0.0,148300.0,1000.0,0.0
2021-03-16,152700.0,4400.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,149300.0,153800.0,148200.0,157392.0,2.88,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,149008.47852600113,148848.78333167403,148750.1277560536,0.0,-83156.46162930714,1400.0,431541.0,0.0,89.2156862745098,75.02841716396703,60.51183033599913,309.7195362681232,136.76151724515512,172.95801902296807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273148.97690081736,154874.03679140258,148840.0,142805.96320859742,151566.66666666666,4091694622.344211,0.0,148300.0,152700.0,0.0
2021-03-17,150700.0,-2000.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,153000.0,153900.0,148900.0,131273.0,-1.33,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,149324.3401747475,149153.47564455462,149045.49890758624,0.0,-119912.90162930715,-1800.0,300268.0,0.0,68.93203883495146,69.74489387706679,68.77766912777962,320.09488149904064,183.15830084870805,136.9365806503326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271429.6186820878,153932.7443592165,150160.0,146387.2556407835,151166.66666666666,1523542541.116604,0.0,150700.0,152700.0,0.0
2021-03-18,150600.0,-100.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,151300.0,154000.0,150200.0,131271.0,-0.07,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,149541.71726811488,149366.6269509652,149253.54266432996,0.0,-223547.90162930713,-5200.0,168997.0,0.0,41.37931034482759,66.50901181809628,70.42744095304336,317.14918780341395,215.35883068311153,101.79035712030242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271342.51118374674,153603.843571147,150740.0,147876.156428853,151600.0,2026342451.874367,0.0,150600.0,152700.0,0.0
2021-03-19,148600.0,-2000.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,148500.0,149700.0,146800.0,116944.0,-1.35,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,149393.06245530478,149263.90618235295,149175.0435806432,0.0,-195320.03956034163,-7200.0,52053.0,0.0,25.0,45.10378305992634,60.45256291836313,211.05651003911044,214.3649732704245,-3.3084632313140787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269789.47001508804,153383.49808802814,150180.0,146976.50191197186,148366.66666666666,-9547304692.844437,0.0,148600.0,152700.0,0.0
2021-03-22,148800.0,200.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,150100.0,151400.0,146500.0,167565.0,0.13,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,149080.0,0.0,0.0,149305.31865214245,149206.6890652392,149134.1099535538,0.0,-205579.12119299467,-4900.0,219618.0,-48937.63952311006,30.666666666666664,32.348659003831415,47.98715129395134,143.02844703104347,198.38145031313806,-55.35300328209459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270014.9949141459,153266.36903278882,150280.0,147293.63096721118,148900.0,2046966848.6855845,0.0,148600.0,148800.0,0.0
2021-03-23,147700.0,-1100.0,-34800,-48100,108600,-25700,-19900,9700,-31700,-500,-5100,12700,151000.0,155300.0,147400.0,266734.0,-0.74,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,149060.0,0.0,0.0,149080.62783065648,149033.93799249135,148990.448772341,0.0,-452054.842711982,-12500.0,-47116.0,-122137.33822768653,13.636363636363635,23.1010101010101,33.517817388255956,33.26130402664421,162.25410579161388,-128.99280176496967,0.0,-0.13522650439485862,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,268043.17098941474,151637.62592452663,149280.0,146922.37407547337,150133.33333333334,7108205178.192507,0.0,148600.0,147700.0,0.0
