일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,120700.0,-2900.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,122300.0,123500.0,118200.0,1424346.0,-2.4,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,120700.0,120700.0,120700.0,0.0,-80623.35849056604,0.0,1424346.0,0.0,47.16981132075472,47.16981132075472,47.16981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424346.0,0.0,0.0,0.0,120800.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,118500.0,-2200.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,122000.0,124000.0,118500.0,897551.0,-1.86,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,119547.61904761904,119573.17073170732,119589.10891089108,0.0,-978174.358490566,-5500.0,526795.0,0.0,5.172413793103448,26.17111255692908,36.670461938841896,-49.358974358969135,-27.42165242164952,-21.937321937319616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407986.3297431648,0.0,0.0,0.0,120333.33333333333,245111419.8524652,0.0,118500.0,1000.0,0.0
2021-03-11,123200.0,4700.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,118000.0,123900.0,117900.0,1087806.0,3.81,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,120882.77945619336,120841.55432196669,120816.65141811527,0.0,-144189.75849056593,-200.0,1614601.0,0.0,86.88524590163934,46.40915700516583,39.916693627616546,82.8535883272416,17.773118377076344,65.08046995016525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451131.3778444307,0.0,0.0,0.0,121666.66666666667,-193049128.24529374,0.0,118500.0,123200.0,0.0
2021-03-12,127100.0,3900.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,124600.0,127300.0,122600.0,761405.0,3.07,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,122665.82633053222,122522.46454569182,122434.45199058231,0.0,552414.8159775191,4300.0,2376006.0,0.0,97.87234042553192,63.31000004009157,45.29675653406216,281.7639371571131,107.20090251665518,174.56303464045794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475234.2958639113,0.0,0.0,0.0,125666.66666666667,2499983582.981462,0.0,127100.0,123200.0,0.0
2021-03-15,123500.0,-3600.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,127200.0,127300.0,123500.0,565311.0,-2.91,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,122865.87443285121,122737.49888304617,122656.08429893437,0.0,-12896.184022480855,500.0,1810695.0,0.0,59.57446808510638,81.44401813742587,63.72105839422776,240.66472022719972,146.9033708979452,93.76134932925453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459222.3399237066,128385.49911416466,122600.0,116814.50088583534,124766.66666666667,302488364.8115816,0.0,123500.0,123200.0,0.0
2021-03-16,127800.0,4300.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,124800.0,128500.0,123800.0,662036.0,3.36,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,123895.79411089983,123687.40474244354,123556.39971963686,0.0,451937.6032115617,4800.0,2472731.0,0.0,93.39622641509435,83.61434497524421,76.12278771758723,395.30533821793506,214.23411492387703,181.07122329405803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482272.9860775527,130664.57673595542,124020.0,117375.42326404458,126700.0,532448386.4925775,0.0,123500.0,127800.0,0.0
2021-03-17,125800.0,-2000.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,127900.0,128700.0,124300.0,644262.0,-1.59,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,124251.37080379388,124035.11743659702,123896.26547260977,0.0,246945.14866610715,1900.0,1828469.0,0.0,73.14814814814815,75.37294754944963,80.14377022070657,397.0655059202254,260.5038624873753,136.56164343285013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472190.6386597124,129192.46548805508,125480.0,121767.53451194492,126266.66666666667,239033188.36125678,0.0,125800.0,127800.0,0.0
2021-03-18,125600.0,-200.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,126900.0,129300.0,125200.0,638033.0,-0.16,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,124481.18214448077,124265.70931119136,124124.281608013,0.0,-266593.6074314538,-1800.0,1190436.0,0.0,44.776119402985074,70.44016465540919,76.47581906003434,382.34950499808474,289.7856616905141,92.56384330757066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471176.2777694103,128911.88075639922,125960.0,123008.11924360078,126700.0,481949993.18217087,0.0,125600.0,127800.0,0.0
2021-03-19,125300.0,-300.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,123200.0,125500.0,122500.0,578638.0,-0.24,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,124610.43666614992,124404.29449188345,124265.5008756782,0.0,234892.65923521284,-2100.0,611798.0,0.0,41.17647058823529,53.0335793797895,66.28223052821612,351.45724822589546,304.03210413450563,47.425144091389825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469794.1806356523,128339.34298692223,125600.0,122860.65701307777,124433.33333333333,-1684991307.1730514,0.0,125300.0,127800.0,0.0
2021-03-22,128500.0,3200.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,125400.0,129900.0,124500.0,930683.0,2.49,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,124600.0,0.0,0.0,125185.89895768443,124909.44934999043,124727.66958622672,0.0,682999.2888648424,1900.0,1542481.0,235973.97975003516,81.08108108108108,55.67789035743382,59.717211464210834,489.25970701058395,345.53383962633785,143.7258673842461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493562.6211783497,129189.20837322916,126600.0,124010.79162677084,127633.33333333333,1856700938.9878185,0.0,125300.0,128500.0,0.0
