일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,166700.0,6200.0,-81800,91000,300,-9400,-1200,-12100,-38600,-1600,-6700,-21600,160000.0,167300.0,159700.0,84724.0,3.72,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,166700.0,166700.0,166700.0,0.0,71346.52631578947,0.0,84724.0,0.0,92.10526315789474,92.10526315789474,92.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84724.0,0.0,0.0,0.0,164566.66666666666,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,172900.0,6200.0,-45500,-108600,157500,-3400,-15800,-5200,-20600,-1100,-2400,-500,169000.0,173500.0,166700.0,74341.0,3.59,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,169947.61904761902,169875.60975609755,169830.69306930693,0.0,132568.52631578947,6200.0,159065.0,0.0,95.65217391304348,93.87871853546912,92.99199084668193,139.1025641025626,77.27920227920144,61.82336182336117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87488.93221355729,0.0,0.0,0.0,171033.33333333334,60370455065.172646,0.0,172900.0,1000.0,0.0
2021-03-11,176000.0,3100.0,-33600,212200,-158600,-20000,-32900,9000,-25500,-100,-100,16000,173600.0,176000.0,169200.0,59469.0,1.76,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,172160.12084592145,172017.4464710547,171927.98327016077,0.0,192037.52631578947,13000.0,218534.0,0.0,100.0,95.91914569031275,93.9677091278922,273.37509120069444,157.64636986997724,115.7287213307172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88555.17802038204,0.0,0.0,0.0,173733.33333333334,28586322285.560543,0.0,176000.0,1000.0,0.0
2021-03-12,177900.0,1900.0,16400,169100,-179300,-6200,10800,3200,-9800,200,-600,12600,175500.0,180000.0,173000.0,44572.0,1.07,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,173806.27020038787,173597.39856732692,173465.62390212753,0.0,209866.32631578945,17900.0,263106.0,0.0,89.65517241379311,95.10244877561219,94.96677100046469,396.3439156600507,238.50597210238692,157.83794355766378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89036.35302038204,0.0,0.0,0.0,176966.66666666666,61249214753.657005,0.0,177900.0,1000.0,0.0
2021-03-15,173500.0,-4400.0,-25800,-73900,105700,-6000,-16100,-2300,-6600,-800,400,-400,177900.0,178400.0,173200.0,32600.0,-2.54,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,173732.82173920164,173575.97322025424,173472.77407636298,0.0,181027.86477732792,13000.0,230506.0,0.0,67.98029556650246,85.87848932676519,92.3000279308967,279.7331721945375,250.77013205364543,28.963040140892048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88230.05734865635,180997.89444517362,173400.0,165802.10555482638,175033.33333333334,-11165644171.77914,0.0,173500.0,1000.0,0.0
2021-03-16,175300.0,1800.0,93400,45300,-51900,-86800,56800,3600,14100,100,-7000,25800,173500.0,176700.0,173500.0,32651.0,1.03,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,174059.94509831365,173899.4621641587,173792.58485316418,0.0,185109.23977732792,14800.0,263157.0,0.0,64.66165413533834,74.0990407052113,85.02665960252956,281.34530135046225,259.0577028796106,22.287598470851663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88568.79971176875,178707.53397196459,175120.0,171532.46602803541,175166.66666666666,-6860433064.837217,0.0,173500.0,175300.0,0.0
2021-03-17,173000.0,-2300.0,-27500,-51500,95900,-16900,-33600,6100,-2300,-300,-200,2700,175500.0,178700.0,171600.0,47293.0,-1.33,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,173862.0191414279,173751.4194137691,173672.52226881115,0.0,156467.0003407082,9100.0,215864.0,0.0,35.18518518518518,55.94237829567533,71.97330277588394,173.3392248043092,237.36464283966006,-64.02541803535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87948.29828564211,178678.58728873543,175140.0,171601.41271126457,174433.33333333334,750639629.5434843,0.0,173500.0,173000.0,0.0
2021-03-18,171100.0,-1900.0,56600,-1300,-41200,-14100,25300,100,16000,-800,-1400,17400,166600.0,171700.0,158000.0,122246.0,-1.11,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,173391.36099189354,173360.72187054434,173328.2335451028,0.0,268005.3215085914,7200.0,93618.0,0.0,59.54545454545455,53.13076462199269,61.05739454095976,7.767134102730779,182.1880439080672,-174.4209098053364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86605.71215847449,178758.43451622396,174160.0,169561.56548377604,166933.33333333334,-115431179752.30273,0.0,173500.0,171100.0,0.0
2021-03-19,172100.0,1000.0,-33900,86200,-52000,-300,-44500,4800,8300,500,-4800,1700,170000.0,173400.0,167700.0,28671.0,0.58,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,173187.5131566463,173191.79705074045,173180.7065157194,0.0,283598.3215085914,11600.0,122289.0,0.0,68.11594202898551,54.28219391987508,54.4517789458477,-57.39296555813053,126.84364215385855,-184.23660771198908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86773.28083176496,175822.76460230036,173000.0,170177.23539769964,171066.66666666666,113320079522.86281,0.0,172100.0,171100.0,0.0
2021-03-22,174100.0,2000.0,44200,-100500,52300,3900,30300,-1100,-11000,700,-900,26200,172100.0,174700.0,168800.0,31865.0,1.15,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,173260.0,0.0,0.0,173322.51591268877,173303.81270495596,173281.04156639994,0.0,308982.3045594389,16900.0,154154.0,69774.31360694332,77.77777777777779,68.47972478407262,58.63089444198013,0.23789856667281128,98.47660613699986,-98.23870757032705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87143.58879225305,176065.9124223235,173120.0,170174.0875776765,172533.33333333334,22218735289.502586,0.0,172100.0,174100.0,0.0
2021-03-23,174300.0,200.0,-34800,-48100,108600,-25700,-19900,9700,-31700,-500,-5100,12700,172600.0,176700.0,172400.0,48012.0,0.11,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,174020.0,0.0,0.0,173459.33093210834,173418.03164225828,173383.11517087842,0.0,303399.51386176446,18800.0,202166.0,64510.52652445834,78.74396135265701,74.8792270531401,65.88038191902926,52.534653492679354,88.42476940780314,-35.890115915123786,0.0,4.559088182363524,0.0,0.0,0.0,0.0,0.0,7600.0,0.0,87198.74330115598,175334.62212364585,172920.0,170505.37787635415,174466.66666666666,25077064067.3165,0.0,172100.0,174300.0,0.0
2021-03-24,173000.0,-1300.0,86100,85400,-151200,-20300,11300,8700,46000,-2200,-7000,29300,174000.0,175000.0,170900.0,24307.0,-0.75,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,174030.0,0.0,0.0,173398.04644999534,173373.1129837445,173347.598292429,0.0,303992.367520301,16800.0,177859.0,56681.20101620717,80.21390374331551,78.91188095791676,74.09027759837649,18.751041327021085,73.461774619383,-54.71073329236191,0.0,0.05783689994216523,0.0,0.0,0.0,0.0,0.0,100.0,0.0,87017.4518496356,175334.62212364585,172920.0,170505.37787635415,172966.66666666666,-26988110420.866417,0.0,173000.0,174300.0,-0.12966206817124146
2021-03-25,171300.0,-1700.0,42400,-90400,53900,-5900,-6600,10000,30700,400,-2900,10800,172100.0,173200.0,170200.0,48067.0,-0.99,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,173560.0,0.0,0.0,173129.53746633572,173162.92743235052,173170.70516648566,0.0,291174.5008536344,14900.0,129792.0,44247.0465492371,40.0,66.31928836532417,73.37013212546036,-102.58242950233398,36.204704716272964,-138.78713421860695,0.0,-2.670454545454548,0.0,0.0,0.0,0.0,0.0,-4700.0,0.0,86545.11716755468,175256.43201510518,172960.0,170663.56798489482,171566.66666666666,-7801610252.356087,0.0,173000.0,171300.0,-0.1715148358623318
2021-03-26,170400.0,-900.0,-42900,-88300,140700,-9500,-12600,-700,-15900,-1400,-4000,-8300,171200.0,173800.0,169300.0,62586.0,-0.53,0.5,2.608,0.25,33171.37,13316.0,4.0005,59.16,172810.0,0.0,0.0,172792.6971006797,172897.0970546949,172946.32702378617,0.0,259186.1008536344,11500.0,67206.0,24959.760944636917,20.253164556962027,46.82235610009251,64.01784180777783,-244.23037116913474,-22.46252239598049,-221.76784877315424,0.0,-4.215851602023612,-43.63636363636363,-29.610174177494773,0.0,0.0,0.0,-7500.0,0.0,86216.29405021667,175696.10142875687,172620.0,169543.89857124313,171166.66666666666,-1078515962.0362382,0.0,173000.0,170400.0,-0.1935226796206879
2021-03-29,172000.0,1600.0,-17200,-36600,71700,-17900,-21400,9400,6600,700,-1800,-10700,170600.0,178800.0,169100.0,80088.0,0.93,0.5,2.639,0.25,33066.96,13316.0,3.9945,61.45,172660.0,0.0,0.0,172697.95266272148,172814.78430949792,172874.1227615025,6307.142857142857,226985.77095672718,14400.0,147294.0,4554.879053317563,29.896907216494846,30.050023924485618,47.73055612996743,-252.9914682880917,-70.24967244271177,-182.74179584537995,58.745874587458744,-0.8645533141210415,-36.36363636363637,14.957264957265638,0.0,0.0,54.64596934967578,-1500.0,0.0,86968.29405021667,174904.0710049849,172200.0,169495.9289950151,173300.0,29068025172.310455,0.0,173000.0,172000.0,-0.06673718197418653
2021-03-30,176400.0,4400.0,18300,52700,-42900,-28000,18200,3800,-5000,0,-1000,2300,178100.0,178300.0,173000.0,44793.0,2.49,0.5,2.511,0.25,32981.55,13585.5,4.1405,58.65,172770.0,0.0,0.0,173128.11919029828,173129.8390922052,173128.71227367054,6306.632653061225,239663.03510767058,18800.0,192087.0,-172.9775863145187,75.25773195876289,41.80260124407325,39.55832708955047,10.39903968424187,-53.652768708104276,64.05180839234615,64.32491767288695,0.627495721620086,-16.363636363636363,94.70190683079926,0.0,0.0,52.84831001489595,1100.0,0.0,88114.16149207714,176766.13072635198,172620.0,168473.86927364802,175900.0,20114750072.55598,0.0,176400.0,172000.0,0.028734813700279412
2021-03-31,178500.0,2100.0,-57900,-75200,148300,-15200,-35100,-7400,-14300,700,-4700,2900,175600.0,179200.0,174200.0,76068.0,1.18,0.5,2.456,0.25,33153.21,13570.0,4.1185,59.33,173320.0,0.0,0.0,173736.91998229997,173583.4854383769,173497.17124143612,6213.301749271138,294431.9951076706,23100.0,268155.0,15335.111750773678,93.06930693069307,66.0746487019836,45.975757956847495,341.09952583388076,27.116451347008784,313.983074486872,66.64350791871279,3.1791907514450823,-6.818181818181818,119.73094170403571,0.0,0.0,54.03696325769427,5500.0,0.0,89019.73292064857,180036.20139007617,173720.0,167403.79860992383,177300.0,6901719514.118946,0.0,176400.0,178500.0,-0.029036384396060932
