일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,1504000.0,-11000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,1541000.0,1544000.0,1483000.0,38603.0,-0.73,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,1504000.0,1504000.0,1504000.0,0.0,-12023.88524590164,0.0,38603.0,0.0,34.42622950819672,34.42622950819672,34.42622950819672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38603.0,0.0,0.0,0.0,1510333.3333333333,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,1504000.0,0.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,1504000.0,1515000.0,1496000.0,30282.0,0.0,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,1504000.0,1504000.0,1504000.0,0.0,-16805.25366695427,0.0,38603.0,0.0,34.42622950819672,34.42622950819672,34.42622950819672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38603.0,0.0,0.0,0.0,1505000.0,-501948352156.3966,0.0,1504000.0,1000.0,0.0
2021-03-11,1550000.0,46000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,1514000.0,1550000.0,1495000.0,43760.0,2.97,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,1520815.7099697886,1520087.2323552733,1519637.9558227684,0.0,26954.74633304573,55000.0,82363.0,0.0,100.0,56.284153005464475,41.71220400728597,1426.4572475093883,584.6136260284377,841.8436214809506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39941.40425531915,0.0,0.0,0.0,1531666.6666666667,2136654478976.2341,0.0,1504000.0,1550000.0,0.0
2021-03-12,1571000.0,21000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,1560000.0,1571000.0,1535000.0,35135.0,1.34,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,1535208.14479638,1533761.5208375626,1532862.3605156047,0.0,62089.746333045725,91000.0,117498.0,0.0,100.0,78.14207650273225,56.284153005464475,2798.4761234030593,1334.5670465482958,1463.9090768547635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40417.42683596431,0.0,0.0,0.0,1559000.0,3125088942649.7793,0.0,1571000.0,1550000.0,0.0
2021-03-15,1580000.0,9000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,1576000.0,1581000.0,1551000.0,24591.0,0.57,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,1545949.943489869,1543932.8764473742,1542666.9153145044,0.0,85041.34633304573,120000.0,142089.0,0.0,98.9795918367347,99.65986394557824,78.02869781792499,3843.2264045875054,2080.8364890873277,1762.3899155001777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40558.30462081472,1606525.88353974,1541800.0,1477074.11646026,1570666.6666666667,1585946077833.3535,0.0,1580000.0,1550000.0,0.0
2021-03-16,1573000.0,-7000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,1584000.0,1585000.0,1565000.0,20318.0,-0.45,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,1551596.2095025536,1549386.9060545973,1547975.972749907,0.0,80977.74633304572,108000.0,121771.0,0.0,86.66666666666667,95.21541950113378,91.00578664981475,4099.6990303169005,2628.0604843464494,1471.638545970451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40468.288165118516,1610947.6286754906,1555600.0,1500252.3713245094,1574333.3333333333,885913967910.2274,0.0,1573000.0,1550000.0,0.0
2021-03-17,1560000.0,-13000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,1571000.0,1574000.0,1534000.0,18141.0,-0.83,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,1553165.4683993782,1551133.7184058323,1549797.4001721118,0.0,86420.04633304573,94000.0,103630.0,0.0,72.22222222222221,85.95616024187451,93.61048122952884,3604.6396283248905,2875.206612926536,729.4330153983547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40318.3625452838,1587943.320458244,1566800.0,1545656.679541756,1556000.0,-4630395237307.756,0.0,1560000.0,1550000.0,0.0
2021-03-18,1550000.0,-10000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,1561000.0,1579000.0,1544000.0,17816.0,-0.65,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,1552626.061022755,1550966.660341172,1549824.5147425132,0.0,74712.38919018858,65000.0,85814.0,0.0,31.372549019607842,63.420479302832234,81.53068634861351,2739.1312005023938,2842.5051324223164,-103.3739319199226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40204.15741707868,1587943.320458244,1566800.0,1545656.679541756,1557666.6666666667,1473394701392.0073,0.0,1550000.0,1550000.0,0.0
2021-03-19,1518000.0,-32000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,1535000.0,1538000.0,1510000.0,36971.0,-2.11,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,1547160.1629300164,1546549.4393126634,1546001.9712692045,0.0,58867.6749044743,33000.0,48843.0,0.0,10.666666666666668,38.08714596949891,62.487928504735216,510.4693580355961,2303.793299249849,-1793.323941214253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39440.885159014164,1599658.4859377313,1556200.0,1512741.5140622687,1522000.0,-2840063833815.694,0.0,1550000.0,1518000.0,0.0
2021-03-22,1503000.0,-15000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,1518000.0,1528000.0,1501000.0,39621.0,-1.0,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,1541300.0,0.0,0.0,1540626.6509717242,1541178.1520477394,1541308.5789625724,0.0,25116.45268225208,8000.0,9222.0,1118.3343913477147,2.380952380952381,14.80672268907563,38.771449320468925,-1850.5504688229412,1372.9791358767666,-3223.5296046997078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39049.37330130665,1593250.3574820992,1540800.0,1488349.6425179008,1510666.6666666667,-647383963049.8978,0.0,1550000.0,1503000.0,0.0
