일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,861000.0,-29000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,888000.0,890000.0,850000.0,436628.0,-3.37,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,861000.0,861000.0,861000.0,0.0,-196482.6,0.0,436628.0,0.0,27.500000000000004,27.500000000000004,27.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436628.0,0.0,0.0,0.0,867000.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,891000.0,30000.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,910000.0,914000.0,886000.0,364520.0,3.37,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,876714.2857142857,876365.8536585366,876148.5148514851,0.0,-430816.8857142858,30000.0,801148.0,0.0,64.0625,45.78125,36.640625,673.0769230768783,373.93162393159906,299.14529914527924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449329.04529616726,0.0,0.0,0.0,897000.0,230440030725.33743,0.0,891000.0,1000.0,0.0
2021-03-11,939000.0,48000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,907000.0,943000.0,895000.0,601480.0,5.11,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,899483.3836858006,898270.4203013481,897515.2267677428,0.0,70416.4476190476,78000.0,1402628.0,0.0,95.6989247311828,62.42047491039426,45.23390830346475,2346.110724745202,1182.2017472158623,1163.9089775293396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481732.00825913023,0.0,0.0,0.0,925666.6666666666,151625989226.57443,0.0,891000.0,939000.0,0.0
2021-03-12,944000.0,5000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,962000.0,963000.0,940000.0,255668.0,0.53,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,912250.3770739065,910552.5941823033,909483.8596974772,0.0,-96323.5523809524,83000.0,1658296.0,0.0,83.1858407079646,80.98242181304913,63.061382241147804,3230.0651734976564,1875.9224200755484,1354.142753422108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483093.39271067444,0.0,0.0,0.0,949000.0,292371356603.09467,0.0,944000.0,939000.0,0.0
2021-03-15,966000.0,22000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,960000.0,975000.0,948000.0,336241.0,2.28,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,925140.390820789,922749.6926256163,921239.1279009652,0.0,15756.780952380926,105000.0,1994537.0,0.0,92.80000000000001,90.56158847971581,77.9881617343864,4517.8224279253045,2661.8279435910636,1855.994484334241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490929.51771067444,997010.415960337,920200.0,843389.584039663,963000.0,80299547051.07349,0.0,944000.0,966000.0,0.0
2021-03-16,891000.0,-75000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,917000.0,935000.0,885000.0,941008.0,-8.42,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,918014.1310926807,916792.3173357347,915946.5152805456,0.0,-699409.299047619,30000.0,1053529.0,0.0,6.666666666666667,60.8841691248771,77.47605980588068,1999.9752224376425,2482.4290578590453,-482.4538354214028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417869.8903814819,986484.6580814722,926200.0,865915.3419185278,903666.6666666666,-273642732049.0368,0.0,944000.0,891000.0,0.0
2021-03-17,857000.0,-34000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,881000.0,882000.0,843000.0,780786.0,-3.97,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,906620.823741872,906951.0816915085,907017.1609849981,0.0,-919630.9913553114,-4000.0,272743.0,0.0,10.606060606060606,36.690909090909095,62.712222231834005,-1189.4508904516697,1553.1741997849144,-2742.625090236584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388075.58735117887,998702.9633746432,919400.0,840097.0366253568,860666.6666666666,-237260914002.0441,0.0,857000.0,891000.0,0.0
2021-03-18,861000.0,4000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,865000.0,875000.0,857000.0,554558.0,0.46,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,898846.868753464,900180.0010272572,900858.5400018921,0.0,-1227718.769133089,0.0,827301.0,0.0,13.636363636363635,10.303030303030303,35.95936950627216,-3118.694988222327,430.4361793872212,-3549.1311676095484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390663.9560793002,991758.171877319,903800.0,815841.828122681,864333.3333333334,11360398731.963114,0.0,861000.0,891000.0,0.0
2021-03-19,830000.0,-31000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,840000.0,846000.0,829000.0,537750.0,-3.73,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,887979.0438407984,890776.5439251375,892347.4958648836,0.0,-1702204.063250736,-31000.0,289551.0,0.0,0.684931506849315,8.309118583091186,18.434352659010194,-5945.230815346818,-1042.374526243406,-4902.856289103413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371302.4578214605,974389.5069052193,881000.0,787610.4930947807,835000.0,-90097629009.7629,0.0,830000.0,891000.0,0.0
2021-03-22,805000.0,-25000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,826000.0,828000.0,796000.0,595899.0,-3.11,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,884500.0,0.0,0.0,875702.2645163947,880197.0631032035,882814.0709311899,0.0,-1962909.875750736,-56000.0,-306348.0,-684078.4880564212,6.474820143884892,6.932038429032613,8.514729105051368,-9151.536736645503,-2859.2975975937675,-6292.239139051735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353353.6927612195,907238.3435767989,848800.0,790361.6564232011,809666.6666666666,-136935957267.92627,0.0,830000.0,805000.0,0.0
