일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,317000.0,-4500.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,328500.0,334000.0,303000.0,1236147.0,-1.42,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,317000.0,317000.0,317000.0,0.0,-119627.12903225806,0.0,1236147.0,0.0,45.16129032258064,45.16129032258064,45.16129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236147.0,0.0,0.0,0.0,318000.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,293500.0,-23500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,307500.0,308500.0,293000.0,2910722.0,-8.01,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,304690.47619047615,304963.4146341463,305133.6633663366,0.0,-2842560.6129032257,-23500.0,-1674575.0,0.0,1.2195121951219512,23.190401258851296,34.17584579071597,-527.2435897436226,-292.9131054131237,-234.3304843304989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020367.9242902208,0.0,0.0,0.0,298333.3333333333,-9452122188.240582,0.0,1000.0,293500.0,0.0
2021-03-11,303000.0,9500.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,293000.0,306000.0,292500.0,1002803.0,3.14,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,304072.50755287,304276.7644726407,304408.31263887073,0.0,-2285447.835125448,-13000.0,-671772.0,0.0,25.301204819277107,23.894002445659897,30.748564675697278,-377.218552694947,-327.46451823354306,-49.75403446140393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052826.6244605787,0.0,0.0,0.0,300500.0,-2019339790.5670407,0.0,303000.0,293500.0,0.0
2021-03-12,301000.0,-2000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,306000.0,310000.0,295000.0,631141.0,-0.66,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,303191.33807369095,303396.6822307937,303530.7598393636,0.0,-2411676.0351254484,-22000.0,-1302913.0,0.0,20.481927710843372,15.667548241747477,20.917317315419556,-371.94879402418155,-342.533717349613,-29.415076674568525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048660.6772658592,0.0,0.0,0.0,302000.0,7724106023.852039,0.0,301000.0,293500.0,0.0
2021-03-15,308000.0,7000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,302000.0,308500.0,298500.0,402453.0,2.27,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,304344.5316211036,304409.3016521868,304460.35475637065,0.0,-2049468.3351254484,-12500.0,-900460.0,0.0,37.34939759036144,27.710843373493972,22.424131353633783,-82.70871765073389,-265.2416541360007,182.53293648526682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058020.0493588825,320094.8709516943,304500.0,288905.1290483057,305000.0,2484762195.8340473,0.0,308000.0,293500.0,0.0
2021-03-16,306000.0,-2000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,309500.0,313000.0,305500.0,361417.0,-0.65,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,304690.08412815054,304707.77342458034,304729.83163659315,0.0,-2362696.401792115,-19500.0,-1261877.0,0.0,65.85365853658537,41.22832794593006,28.20223985372384,7.1972717447788455,-191.3955579110518,198.59282965583066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055673.185722519,312331.9489631876,302300.0,292268.0510368124,308166.6666666667,11932200200.875996,0.0,306000.0,293500.0,0.0
2021-03-17,295000.0,-11000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,302000.0,303500.0,294500.0,554201.0,-3.73,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,302880.63269862003,303109.9680524351,303255.9342652953,0.0,-2855319.512903226,-30500.0,-1816078.0,0.0,12.195121951219512,38.46605935938877,35.80174355960427,-433.5876483275788,-252.68791489843835,-180.89973342914044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035750.9275525843,311597.7775033616,302600.0,293602.2224966384,297666.6666666667,-16645585265.995548,0.0,306000.0,295000.0,0.0
2021-03-18,295500.0,500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,300500.0,301000.0,295000.0,417876.0,0.17,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,301622.9459301897,301988.6079965099,302217.9332568148,0.0,-3203549.512903226,-30000.0,-1398202.0,0.0,5.405405405405405,27.81806196440343,35.83748308990742,-698.396051521122,-359.7999616722362,-338.5960898488858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036459.191959364,311690.56183589896,301100.0,290509.43816410104,297166.6666666667,-1435832639.3475578,0.0,295500.0,295000.0,0.0
2021-03-19,288500.0,-7000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,291500.0,292500.0,286000.0,742847.0,-2.43,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,299551.4228342246,300181.2619605185,300570.22875409474,0.0,-3374975.743672457,-37000.0,-2141049.0,0.0,9.25925925925926,8.953262205294726,25.079127843028974,-1218.4399777312647,-558.1500651169573,-660.2899126143074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018862.1395058953,313234.2065039414,298600.0,283965.7934960586,289000.0,-7656354538.68697,0.0,295500.0,288500.0,0.0
2021-03-22,303500.0,15000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,296500.0,304000.0,292500.0,592657.0,4.94,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,301100.0,0.0,0.0,300135.6162433775,300590.5874454945,300889.9946955127,0.0,-2833854.134976805,-22000.0,-1548392.0,-601316.6464948044,64.81481481481481,26.493159826493155,21.08816133206377,-796.978106987197,-611.6614104446952,-185.31669654250175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049676.1949651674,310326.95529413165,297700.0,285073.04470586835,300000.0,17463726911.18134,0.0,303500.0,288500.0,0.0
2021-03-23,313000.0,9500.0,-540900,-476900,1017000,800,-69100,-19100,-113900,0,1000,-339900,308000.0,317500.0,307000.0,921293.0,3.04,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,300700.0,0.0,0.0,301936.19891917746,302013.4021326253,302103.10786178324,0.0,-2702240.8492625193,-12500.0,-627099.0,-403931.8228281699,85.71428571428571,53.26278659611992,29.5697362093026,24.871821547742,-472.3915763949475,497.2633979426895,0.0,-1.2618296529968487,0.0,0.0,0.0,0.0,0.0,-4000.0,0.0,1078514.0318679682,315945.1773513965,299100.0,282254.8226486035,312500.0,15955835982.689548,0.0,303500.0,313000.0,0.0
2021-03-24,306000.0,-7000.0,-433500,-478000,896300,15300,-67000,-9000,-131200,4400,-4600,-226200,307000.0,311000.0,304500.0,432463.0,-2.29,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,301950.0,0.0,0.0,302478.3961178408,302441.77312212496,302464.3711447959,0.0,-2935105.5415702118,-19500.0,-1059562.0,-360555.72225988796,63.49206349206349,71.34038800705467,50.365444809889254,242.55590876511997,-318.8508403223659,561.4067490874859,0.0,4.258943781942071,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,1068842.3353823451,318301.1764298827,301300.0,284298.8235701173,307166.6666666667,-6763584399.127787,0.0,306000.0,313000.0,-0.5390582763400196
2021-03-25,308500.0,2500.0,-127300,-82700,172500,37500,158500,-7000,-46700,-1100,-2200,-228800,305000.0,310500.0,302500.0,398363.0,0.81,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,302500.0,0.0,0.0,303249.0438498788,303055.99519626197,302985.7923919119,0.0,-2735924.0415702118,-13500.0,-661199.0,-246657.22909469204,71.42857142857143,73.54497354497353,66.04938271604938,541.9991448422079,-136.66507491544203,678.6642197576499,0.0,1.8151815181518094,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,1072096.9350555479,320530.0932047899,303900.0,287269.9067952101,307166.6666666667,-2510273293.4534583,0.0,308500.0,313000.0,-0.4745514812249662
2021-03-26,318000.0,9500.0,138900,295700,-419500,-15100,185000,-1000,8900,200,-1600,-52500,312000.0,319500.0,311500.0,505086.0,2.99,0.5,2.608,0.25,33171.37,13316.0,4.0005,59.16,304200.0,0.0,0.0,305069.39529207855,304493.8072770829,304201.6778126909,0.0,-2420245.2915702118,-4000.0,-156113.0,-77195.76788213989,94.44444444444444,76.45502645502644,73.78012933568488,1309.6805835303967,165.91151597269896,1143.7690675576978,0.0,5.6478405315614655,-33.333333333333336,126.14622057001311,0.0,0.0,0.0,17000.0,0.0,1087650.636838368,320126.66451474046,309800.0,299473.33548525954,316333.3333333333,14254998158.729404,0.0,308500.0,318000.0,-0.45272063989589983
2021-03-29,327000.0,9000.0,-703100,49600,659200,-5700,-460300,-19300,-29600,-25800,-2500,-165700,320000.0,331000.0,319500.0,556793.0,2.75,0.5,2.639,0.25,33066.96,13316.0,3.9945,61.45,306100.0,0.0,0.0,307690.5765924189,306558.8530792737,305941.17799969146,11928.57142857143,-2250786.552439777,5000.0,400680.0,53065.862144691404,85.96491228070175,83.9459760512392,77.98199201707972,2405.9919737349264,630.2656149236074,1775.7263588113192,54.34782608695653,6.168831168831179,-8.88888888888889,201.59544159544137,0.0,0.0,50.4598047562197,19000.0,0.0,1103408.929291198,329439.8795175865,314500.0,299560.1204824135,325833.3333333333,20137645408.616848,0.0,308500.0,327000.0,-0.3751000879504933
