일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,248000.0,3500.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,248000.0,249000.0,242000.0,315717.0,1.41,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,248000.0,248000.0,248000.0,0.0,225512.14285714287,0.0,315717.0,0.0,85.71428571428571,85.71428571428571,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315717.0,0.0,0.0,0.0,246333.33333333334,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,250500.0,2500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,249000.0,251000.0,247000.0,271969.0,1.0,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,249309.5238095238,249280.48780487807,249262.37623762374,0.0,429488.89285714284,3500.0,587686.0,0.0,94.44444444444444,90.07936507936508,87.89682539682539,56.089743589720456,31.16096866095581,24.928774928764646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318458.62298387097,0.0,0.0,0.0,249500.0,5147645503.715498,0.0,250500.0,1000.0,0.0
2021-03-11,252500.0,2000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,251500.0,257000.0,250000.0,552142.0,0.79,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,250475.83081570995,250406.42347343377,250363.02444124952,0.0,271734.0357142857,6000.0,1139828.0,0.0,70.0,83.38624338624338,86.39329805996472,133.48934673561598,73.09882852761982,60.390518207996166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322866.9423451484,0.0,0.0,0.0,253166.66666666666,5705054134.624788,0.0,250500.0,252500.0,0.0
2021-03-12,255000.0,2500.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,255000.0,259000.0,254500.0,296591.0,0.98,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,251773.32471450118,251640.1786491111,251556.92632584175,0.0,41052.146825396776,8500.0,1436419.0,0.0,76.47058823529412,80.30501089324619,84.59020645295153,255.6822663829953,134.94958660870907,120.73267977428623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325803.48689960386,0.0,0.0,0.0,256166.66666666666,4931032971.33089,0.0,255000.0,252500.0,0.0
2021-03-15,257000.0,2000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,257000.0,257000.0,253500.0,178239.0,0.78,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,253026.76450836184,252819.21070103982,252689.0770804505,0.0,219291.14682539678,12000.0,1614658.0,0.0,88.23529411764706,78.23529411764706,80.64218279904554,396.2819187481073,212.69004714517925,183.59187160292802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327201.43984078034,258968.67333123626,252600.0,246231.32666876374,255833.33333333334,-2945483311.7331223,0.0,257000.0,252500.0,0.0
2021-03-16,256500.0,-500.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,258000.0,258000.0,254500.0,235675.0,-0.19,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,253751.74678346884,253509.85811849526,253356.0850313911,0.0,252959.0039682539,10500.0,1378983.0,0.0,79.16666666666666,81.29084967320262,79.94371822803195,451.9723020038218,277.5488420478818,174.42345995594002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326742.9281676286,259223.41345003646,254300.0,249376.58654996354,256333.33333333334,1485096000.8486264,0.0,257000.0,256500.0,0.0
2021-03-17,257500.0,1000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,257500.0,259000.0,256000.0,209836.0,0.39,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,254451.6666243288,254166.5967809106,253983.81484288585,0.0,252959.0039682539,12000.0,1588819.0,0.0,83.33333333333334,83.57843137254902,81.03485838779956,525.2037068716309,340.2236815041763,184.98002536745457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327561.0022417027,259311.09401705355,255700.0,252088.90598294645,257500.0,1787109933.4718542,0.0,257500.0,256500.0,0.0
2021-03-18,257000.0,-500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,257500.0,260000.0,257000.0,202055.0,-0.19,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,254885.91193892498,254584.11038547824,254387.4803624426,0.0,50904.003968253906,9000.0,1386764.0,0.0,53.84615384615385,72.11538461538461,78.99488855371209,542.0831300203572,388.73430295038526,153.34882706997195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327168.6624358774,258320.46505340852,256600.0,254879.53494659148,258000.0,1484744252.802455,0.0,257000.0,256500.0,0.0
2021-03-19,254500.0,-2500.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,255000.0,257000.0,252000.0,246079.0,-0.98,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,254824.99379609758,254572.84038846896,254400.99545323482,0.0,50904.003968253906,6500.0,1140685.0,0.0,31.25,56.14316239316239,70.612326127032,421.4896869730728,396.3009591599242,25.188727813148603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324774.89784443774,258597.6176963403,256500.0,254402.3823036597,254500.0,-8127471259.229759,0.0,257000.0,254500.0,0.0
2021-03-22,256000.0,1500.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,254000.0,256000.0,252000.0,132182.0,0.59,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,254450.0,0.0,0.0,254998.8363857735,254748.86295884917,254575.5166534625,0.0,183086.0039682539,10500.0,1272867.0,-34140.83146168853,50.0,45.03205128205128,57.76353276353276,407.0757535142475,398.7151385712466,8.360614943000883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325553.96660671674,258359.1260281974,256300.0,254240.8739718026,254666.66666666666,-1513065319.0298223,0.0,256000.0,254500.0,0.0
2021-03-23,250500.0,-5500.0,-540900,-476900,1017000,800,-69100,-19100,-113900,0,1000,-339900,257000.0,258500.0,249500.0,308268.0,-2.2,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,254700.0,0.0,0.0,254369.15003540227,254261.7049572191,254167.25399895827,0.0,-56677.996031746094,2500.0,964599.0,-90651.11988545902,9.523809523809524,30.25793650793651,43.81105006105006,97.93547013908392,332.90626575408766,-234.97079561500374,0.0,1.0080645161290258,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,318931.02129421674,260135.87132480566,255100.0,250064.12867519434,252833.33333333334,0.0,0.0,256000.0,250500.0,0.0
