일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,136500.0,1000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,134000.0,137500.0,130500.0,7822152.0,0.73,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,136500.0,136500.0,136500.0,0.0,5587251.428571429,0.0,7822152.0,0.0,85.71428571428571,85.71428571428571,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7822152.0,0.0,0.0,0.0,134833.33333333334,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,133000.0,-3500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,140500.0,140500.0,132500.0,5614476.0,-2.63,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,134666.66666666666,134707.31707317074,134732.67326732673,0.0,674584.9285714291,-7500.0,2207676.0,0.0,25.0,55.357142857142854,70.53571428571428,-78.5256410256261,-43.625356125347835,-34.900284900278265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7678191.076923077,0.0,0.0,0.0,135333.33333333334,356222023.2128519,0.0,133000.0,1000.0,0.0
2021-03-11,137000.0,4000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,134500.0,139000.0,134000.0,6707671.0,2.92,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,135519.63746223564,135509.11974623313,135503.46359952947,0.0,2016119.1285714293,-3500.0,8915347.0,0.0,65.0,58.57142857142858,66.54761904761905,23.982507680222625,-15.917215221425515,39.89972290164814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7879925.54308849,0.0,0.0,0.0,136666.66666666666,0.0,0.0,133000.0,137000.0,0.0
2021-03-12,140000.0,3000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,140500.0,142500.0,139500.0,4548695.0,2.14,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,136804.56798103856,136715.29247991648,136661.2060147399,0.0,-1016344.2047619037,-500.0,13464042.0,0.0,79.16666666666666,56.388888888888886,56.772486772486765,178.33133023025584,49.88513757385949,128.44619265639636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979532.002942504,0.0,0.0,0.0,140666.66666666666,296788419.535713,0.0,140000.0,137000.0,0.0
2021-03-15,136500.0,-3500.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,141500.0,142000.0,136000.0,4289990.0,-2.56,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,136731.52773910333,136667.93330173814,136627.67541747793,0.0,-4591335.871428571,-6000.0,9174052.0,0.0,50.0,64.72222222222221,59.89417989417989,119.17479333037045,70.49724364136037,48.67754968901008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7872282.252942504,141045.22215417857,136600.0,132154.77784582143,138166.66666666666,-279720931.75042367,0.0,136500.0,137000.0,0.0
2021-03-16,140500.0,4000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,138500.0,140500.0,138000.0,3304561.0,2.85,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,137518.1359607341,137386.96575747235,137305.43021328218,0.0,-1286774.8714285707,-2000.0,12478613.0,0.0,80.0,69.72222222222221,63.61111111111111,252.41594423216884,119.8073259855599,132.60861824660896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7969119.205323457,142818.48687365762,137400.0,131981.51312634238,139666.66666666666,18913253.53049921,0.0,140500.0,137000.0,0.0
2021-03-17,140000.0,-500.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,141000.0,141000.0,138500.0,2588319.0,-0.36,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,137981.58007271079,137817.04585593642,137713.60986877442,0.0,-769111.0714285707,-3000.0,9890294.0,0.0,70.58823529411765,66.86274509803921,67.10239651416121,310.86617298595957,168.15922317512997,142.7069498108296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7959908.105679329,142182.30690505754,138800.0,135417.69309494246,139833.33333333334,48293892.677061826,0.0,140000.0,137000.0,0.0
2021-03-18,142000.0,2000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,142500.0,145000.0,141000.0,4426840.0,1.41,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,138666.33350495968,138433.42133354684,138287.27090389456,0.0,-2982531.071428571,-1000.0,14317134.0,0.0,66.66666666666666,72.41830065359477,69.66775599128539,440.18014791837777,233.530966745556,206.64918117282178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8023148.6771079,143411.09401705355,139800.0,136188.90598294645,142666.66666666666,293663199.9349423,0.0,140000.0,142000.0,0.0
2021-03-19,138000.0,-4000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,138000.0,139500.0,137000.0,4015627.0,-2.9,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,138561.14940586468,138375.34696966122,138252.76588386082,0.0,-3785656.471428571,-5000.0,10301507.0,0.0,22.22222222222222,53.15904139433551,64.14669571532316,324.57555508438963,254.56271832635838,70.01283675803126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7910032.423586774,143267.81592116275,139400.0,135532.18407883725,138166.66666666666,-295719697.07345825,0.0,138000.0,142000.0,0.0
2021-03-22,138000.0,0.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,138500.0,140000.0,137000.0,2727719.0,0.0,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,138150.0,0.0,0.0,138478.1271498233,138329.05254130834,138225.17809149512,0.0,-4694896.138095237,-5000.0,10301507.0,-2524416.8507944616,12.5,33.7962962962963,53.124546114742195,237.84655266656773,250.81732684648048,-12.970774179912752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7910032.423586774,142772.45829914743,139700.0,136627.54170085257,138333.33333333334,27495500.81954923,0.0,138000.0,142000.0,0.0
