일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,687000.0,-9000.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,686000.0,702000.0,679000.0,170456.0,-1.31,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,687000.0,687000.0,687000.0,0.0,-51877.913043478264,0.0,170456.0,0.0,34.78260869565217,34.78260869565217,34.78260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170456.0,0.0,0.0,0.0,689333.3333333334,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,685000.0,-2000.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,699000.0,703000.0,685000.0,65475.0,-0.29,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,685952.380952381,685975.6097560974,685990.099009901,0.0,-117352.91304347827,-18000.0,104981.0,0.0,25.0,29.891304347826086,32.336956521739125,-44.87179487175308,-24.92877492875171,-19.94301994300137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170265.38864628822,0.0,0.0,0.0,691000.0,96219931271.47766,0.0,685000.0,1000.0,0.0
2021-03-11,715000.0,30000.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,685000.0,721000.0,685000.0,110454.0,4.2,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,696570.996978852,696126.0904044408,695852.1761861196,0.0,-43716.91304347827,12000.0,215435.0,0.0,85.71428571428571,48.498964803312624,37.72429261559696,873.122631770093,343.12508027569277,529.9975514944002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175102.79010614223,0.0,0.0,0.0,707000.0,293334781900.15753,0.0,685000.0,715000.0,0.0
2021-03-12,743000.0,28000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,725000.0,756000.0,724000.0,129033.0,3.77,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,709886.4468864469,708715.6114961861,707991.5275785568,0.0,-19523.22554347827,40000.0,344468.0,0.0,83.11688311688312,64.61038961038962,47.66688625384277,2280.1758094364777,999.3075766038719,1280.8682328326058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180155.8306655828,0.0,0.0,0.0,741000.0,917594723830.338,0.0,685000.0,743000.0,0.0
2021-03-15,735000.0,-8000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,740000.0,742000.0,724000.0,59610.0,-1.09,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,715909.0760184107,714497.5460948464,713609.2473198747,0.0,-6276.558876811605,32000.0,284858.0,0.0,72.72727272727273,80.51948051948052,64.54294497772759,2678.4056082045427,1498.8012794836525,1179.6043287208902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179514.00024835533,760732.5884485642,713000.0,665267.4115514358,733666.6666666666,-211373930548.56567,0.0,735000.0,743000.0,0.0
2021-03-16,733000.0,-2000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,750000.0,750000.0,733000.0,61599.0,-0.27,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,719476.5326396745,717969.2666874358,717003.119745375,0.0,-67875.5588768116,15000.0,223259.0,0.0,67.6056338028169,74.48326321565759,73.20437778184258,2781.9294315364677,1846.6003492351529,935.3290823013149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179346.38392182472,763661.3072635198,722200.0,680738.6927364802,738666.6666666666,234581730222.89325,0.0,735000.0,733000.0,0.0
2021-03-17,719000.0,-14000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,734000.0,735000.0,714000.0,78695.0,-1.95,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,719387.548616969,718138.9153959536,717305.6117789493,0.0,-109096.74935300209,-1000.0,144564.0,0.0,47.88732394366197,62.740076824583866,72.58094018657398,2166.1789100584574,1927.4771573993246,238.7017526591328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177843.34162987382,749861.4476966484,729000.0,708138.5523033516,722666.6666666666,-453650168371.56104,0.0,735000.0,719000.0,0.0
2021-03-18,722000.0,3000.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,729000.0,733000.0,722000.0,63699.0,0.42,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,719832.7198742002,718707.8620745327,717933.8764780783,0.0,-172795.7493530021,2000.0,208263.0,0.0,19.047619047619047,44.84685893136597,60.69006632386914,1861.1494297065074,1911.537357141545,-50.38792743503768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178109.1232710421,748000.0,730400.0,712800.0,725666.6666666666,51806150802.99534,0.0,722000.0,719000.0,0.0
2021-03-19,708000.0,-14000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,707000.0,717000.0,705000.0,71381.0,-1.98,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,717964.8654581348,717273.1097205939,716740.6870452412,0.0,-208486.2493530021,-12000.0,136882.0,0.0,6.666666666666667,24.533869885982558,44.0402685473108,927.0131071495125,1684.107371143395,-757.0942639938826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176725.0041574687,743101.7765696396,723400.0,703698.2234303604,710000.0,-277384738235.6649,0.0,722000.0,708000.0,0.0
2021-03-22,715000.0,7000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,715000.0,718000.0,706000.0,39471.0,0.98,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,716200.0,0.0,0.0,717526.2125492643,716992.7496175317,716550.7020993129,0.0,-188750.7493530021,-3000.0,176353.0,-58786.41686821818,22.22222222222222,15.97883597883598,28.45318826539484,611.4402824494755,1443.7676750369135,-832.327392587438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177115.2541574687,735921.5011424507,719400.0,702878.4988575493,713000.0,30402067340.57916,0.0,715000.0,708000.0,0.0
