일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,81400.0,-600.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,81400.0,81900.0,80600.0,25420764.0,-0.74,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,81400.0,81400.0,81400.0,0.0,5866330.153846154,0.0,25420764.0,0.0,61.53846153846154,61.53846153846154,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25420764.0,0.0,0.0,0.0,81300.0,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,80900.0,-500.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,82400.0,82500.0,80700.0,20038422.0,-0.62,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,81138.09523809524,81143.90243902439,81147.52475247525,0.0,-9719109.17948718,-1600.0,5382342.0,0.0,15.789473684210526,38.663967611336034,50.10121457489879,-11.217948717952822,-6.232193732196012,-4.98575498575681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25297677.86977887,0.0,0.0,0.0,81366.66666666667,3143960.138178545,0.0,80900.0,1000.0,0.0
2021-03-11,82000.0,1100.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,81000.0,82500.0,81000.0,23818297.0,1.34,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,81453.17220543807,81443.29896907216,81437.32845379689,0.0,-1779676.846153847,-500.0,29200639.0,0.0,73.68421052631578,50.337381916329285,50.17993702204228,19.817040897731204,4.44372209974137,15.373318797989834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25621536.049012493,0.0,0.0,0.0,81833.33333333333,944651.9203283091,0.0,80900.0,82000.0,0.0
2021-03-12,82800.0,800.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,83100.0,83500.0,82400.0,13530573.0,0.97,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,81839.43115707822,81807.68539195499,81788.18131175986,0.0,-5469833.118881119,300.0,42731212.0,0.0,75.86206896551724,55.111917725347844,48.03775575100439,62.33039251025184,24.053027794358737,38.2773647158931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25753541.639256395,0.0,0.0,0.0,82900.0,9755684.404496392,0.0,82800.0,82000.0,0.0
2021-03-15,81800.0,-1000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,82800.0,82900.0,81800.0,13735798.0,-1.22,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,81829.97493898544,81805.994790188,81790.63958030638,0.0,-19205631.11888112,-800.0,28995414.0,0.0,41.37931034482759,63.641863278886866,56.36372097352133,44.326998793767416,30.084075807033855,14.24292298673356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25587650.35906316,83047.43836142038,81780.0,80512.56163857962,82166.66666666667,-4804962.915150616,0.0,82800.0,81800.0,0.0
2021-03-16,82800.0,1000.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,82200.0,83000.0,82100.0,12293537.0,1.21,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,82032.45213275425,81992.50563754562,81967.3031968405,0.0,-12375888.341103343,200.0,41288951.0,0.0,75.0,64.08045977011494,60.944746924783225,75.43190292693907,42.375858246942244,33.05604467999683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25737938.097449467,83477.60361173355,82060.0,80642.39638826645,82633.33333333333,1464183.9854551218,0.0,82800.0,81800.0,0.0
2021-03-17,82300.0,-500.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,82800.0,82900.0,82000.0,11625146.0,-0.61,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,82082.41195399556,82043.11622791951,82017.70087708111,0.0,-16250937.00777001,-400.0,29663805.0,0.0,52.0,56.12643678160919,61.282919943537,71.42965013268986,49.72859788858729,21.70105224410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25667737.940444637,83155.84312217485,82340.0,81524.15687782515,82400.0,-774183.8253042155,0.0,82300.0,81800.0,0.0
2021-03-18,82900.0,600.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,82800.0,83800.0,82600.0,18585244.0,0.72,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,82221.73194314484,82169.38157199991,82135.7817359493,0.0,-25543559.00777001,200.0,48249049.0,0.0,55.00000000000001,60.666666666666664,60.2911877394636,96.13340805498592,60.88054641422148,35.25286164076444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25803231.821368087,83353.30666623998,82520.0,81686.69333376002,83100.0,4842551.434891035,0.0,82300.0,82900.0,0.0
2021-03-19,81900.0,-1000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,82100.0,82500.0,81800.0,15869700.0,-1.22,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,82170.94493583111,82133.28698637261,82107.46124329856,0.0,-36879059.00777001,-800.0,32379349.0,0.0,5.0,37.333333333333336,51.37547892720306,62.16394504006894,61.17701786376565,0.9869271763032899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25611799.975770984,83239.77775033616,82340.0,81440.22224966384,82066.66666666667,-4631467.513563584,0.0,81900.0,82900.0,0.0
2021-03-22,82000.0,100.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,82000.0,82300.0,81700.0,12670506.0,0.12,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,82080.0,0.0,0.0,82145.65357120839,82116.84767730728,82095.73253045883,0.0,-36879059.00777001,-500.0,45049855.0,-13635812.05084382,14.285714285714285,24.761904761904763,40.920634920634924,42.31343893597659,56.950481154686926,-14.637042218710334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25627270.679067686,83193.87959797503,82380.0,81566.12040202497,82000.0,-710311.0167818081,0.0,82000.0,82900.0,0.0
