일자,close,대비,기관,외국인,개인,기타,금융투자,보험,투신(사모),은행,기타금융,연기금 등,open,high,low,volume,대비%,한국금리,천연가스,미국금리,다우존스,나스닥,구리,WTI,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50,ATR,A/D,WillA/D,OBV,ADOSC,SOK,SOD,SOJ,MACD,MACDS,MACDH,RSI,ROC,WillR,CCI,TSI,ADX,MFI,MOM,ULTOSC,PVT,BollingerU,BollingerM,BollingerL,Typical,EMV,Mass,NVI,PVI,CV
2021-03-09,287500.0,-3500.0,292000,-530500,363100,-124500,351300,21600,-36500,-3700,1400,-42100,288000.0,292000.0,280500.0,853291.0,-1.22,0.5,2.6,0.25,32297.02,13078.5,4.1415,65.61,0.0,0.0,0.0,287500.0,287500.0,287500.0,0.0,185498.04347826086,0.0,853291.0,0.0,60.86956521739131,60.86956521739131,60.86956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853291.0,0.0,0.0,0.0,286666.6666666667,0.0,0.0,1000.0,1000.0,0.0
2021-03-10,285500.0,-2000.0,-889100,480300,400600,8200,-78900,-34000,-30700,-478600,-1400,-265700,291500.0,296500.0,284000.0,494901.0,-0.7,0.5,2.484,0.25,32485.59,13151.5,4.1415,65.39,0.0,0.0,0.0,286452.38095238095,286475.60975609755,286490.099009901,0.0,-190626.71652173914,-11000.0,358390.0,0.0,31.25,46.059782608695656,53.464673913043484,-44.87179487181129,-24.928774928784048,-19.94301994302724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849848.2104347826,0.0,0.0,0.0,288666.6666666667,10103030707.151531,0.0,285500.0,1000.0,0.0
2021-03-11,293000.0,7500.0,-591700,1706900,-1111000,-4200,-393600,25700,71300,4400,2700,-302200,285500.0,296500.0,284500.0,660641.0,2.56,0.5,2.562,0.25,32778.64,13201.5,4.073,64.8,0.0,0.0,0.0,288845.9214501511,288757.33544805704,288703.17605541757,0.0,84640.36681159423,-2500.0,1019031.0,0.0,78.125,56.7481884057971,54.559178743961354,175.39897809701506,57.17276319654344,118.22621490047162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867203.0528165689,0.0,0.0,0.0,291333.3333333333,454104422.8257101,0.0,285500.0,293000.0,0.0
2021-03-12,297000.0,4000.0,183300,407000,-599700,9400,236600,-9300,38300,700,2000,-85000,296000.0,301000.0,293000.0,416941.0,1.35,0.5,2.528,0.25,32953.46,12795.5,4.1205,64.6,0.0,0.0,0.0,291184.44300797244,290971.172529799,290839.3947216717,0.0,84640.36681159423,1500.0,1435972.0,0.0,80.48780487804879,63.28760162601626,55.36519088016968,415.7023365944042,178.62587071614394,237.07646587826025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872895.0801203231,0.0,0.0,0.0,297000.0,12471788574.402613,0.0,297000.0,293000.0,0.0
2021-03-15,289000.0,-8000.0,-300200,-213300,510500,3000,-323700,-40600,-51200,1800,2800,110500,296500.0,297000.0,289000.0,474511.0,-2.77,0.5,2.481,0.25,32825.95,12808.76,4.109,60.0,0.0,0.0,0.0,290660.5788602971,290537.56188489776,290456.8035155208,0.0,-389870.6331884058,-6500.0,961461.0,0.0,41.46341463414634,66.69207317073172,62.242621067515024,219.18959525600076,190.69266169063727,28.49693356536349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860113.639042882,298631.6462509027,290400.0,282168.3537490973,291666.6666666667,-6743784654.096533,0.0,297000.0,289000.0,0.0
2021-03-16,296500.0,7500.0,249100,-26200,-234000,11000,156100,-14800,23400,1500,-2100,85100,290500.0,298000.0,289000.0,410799.0,2.53,0.5,2.535,0.25,33015.37,13071.75,4.1135,61.42,0.0,0.0,0.0,291879.46448822576,291656.3280384226,291514.51583070995,0.0,-116004.63318840577,1000.0,1372260.0,0.0,73.52941176470588,65.16021042563368,65.04662840746056,417.6431431181845,252.20886036017365,165.43428275801088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870774.5127453041,301022.6980000451,292200.0,283377.3019999549,294500.0,1095426230.346228,0.0,296500.0,289000.0,0.0
2021-03-17,293500.0,-3000.0,-533900,-524000,1048300,9600,-172300,-13900,-109600,2400,1500,-242100,296500.0,298000.0,291000.0,360539.0,-1.02,0.5,2.582,0.25,32862.3,13006.25,4.1415,61.55,0.0,0.0,0.0,292182.07076693355,291959.7785657313,291815.2815589538,0.0,-219015.7760455486,-3500.0,1011721.0,0.0,54.54545454545454,56.51276031476892,62.788347970378105,401.8145235243137,290.070062591101,111.74446093321268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867126.5633355234,299548.04314528,293800.0,288051.95685472,294166.6666666667,1941537531.3072927,0.0,293500.0,289000.0,0.0
2021-03-18,292000.0,-1500.0,134400,482300,-617400,700,334200,-16200,15200,-6400,-3000,-189300,295500.0,299500.0,292000.0,401776.0,-0.51,0.5,2.508,0.25,32627.97,12794.0,4.0815,57.76,0.0,0.0,0.0,292151.0452432636,291965.70535930916,291840.003007271,0.0,-620791.7760455486,-11000.0,609945.0,0.0,25.0,51.02495543672014,57.56597539237424,313.40059172641486,295.67682747301455,17.723764253400304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865073.1936592031,299512.6981996378,293600.0,287687.3018003622,294500.0,2333389749.5121655,0.0,293500.0,292000.0,0.0
2021-03-19,287000.0,-5000.0,-1001800,-580600,1602900,-20600,-591700,-7300,-160000,-5900,-17300,-219600,288000.0,290500.0,284000.0,459008.0,-1.74,0.5,2.518,0.25,32731.2,12770.5,4.0675,61.18,0.0,0.0,0.0,291337.9268134121,291300.34775536874,291258.65488441894,0.0,-656100.0837378564,-16000.0,150937.0,0.0,19.35483870967742,32.966764418377316,46.83482672328879,-0.6611174251884222,227.22129206140409,-227.8824094865925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857213.4676318059,298275.32770731143,291600.0,284924.67229268857,287166.6666666667,-12036827244.84105,0.0,293500.0,287000.0,0.0
2021-03-22,289000.0,2000.0,-33900,-546500,583100,-2700,262800,-25100,-87900,-7400,-1900,-174400,290000.0,294500.0,286000.0,465736.0,0.69,0.5,2.57,0.25,32423.15,12966.75,3.9815,58.56,291000.0,0.0,0.0,290992.0297020892,291016.6281760052,291012.1370354695,0.0,-793081.2602084447,-13000.0,616673.0,-317890.90033938474,32.25806451612903,25.537634408602155,36.50978475456654,-120.41976108518429,149.32951562112825,-269.74927670631257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860459.0146701335,298275.32770731143,291600.0,284924.67229268857,289833.3333333333,5475204837.075081,0.0,293500.0,289000.0,0.0
2021-03-23,292500.0,3500.0,-540900,-476900,1017000,800,-69100,-19100,-113900,0,1000,-339900,294000.0,304000.0,291000.0,718171.0,1.2,0.5,2.557,0.25,32420.06,12944.5,4.0705,60.97,291500.0,0.0,0.0,291203.0950158584,291186.70578510925,291161.1828951943,0.0,-1345520.4909776754,-9500.0,1334844.0,-478025.58191456227,42.5,31.370967741935488,29.95845552297165,-18.805968958768062,112.54243231045787,-131.34840126922592,0.0,1.7391304347825987,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,869156.5873344933,295641.48737476405,290800.0,285958.51262523595,295833.3333333333,13123615406.358654,0.0,293500.0,292500.0,0.0
2021-03-24,300000.0,7500.0,-433500,-478000,896300,15300,-67000,-9000,-131200,4400,-4600,-226200,294000.0,302000.0,292000.0,567246.0,2.5,0.5,2.586,0.25,32619.48,12878.25,4.0385,61.56,292950.0,0.0,0.0,292376.78859594464,292133.7186740894,291980.58973838494,0.0,-1005172.8909776754,-1500.0,1902090.0,-391785.9351121746,80.0,51.586021505376344,36.16487455197133,467.93022899510106,188.86482664961176,279.0654023454893,0.0,5.078809106830118,0.0,0.0,0.0,0.0,0.0,14500.0,0.0,883701.3565652625,300963.40792246413,292100.0,283236.59207753587,298000.0,-881451786.3501903,0.0,300000.0,292500.0,-0.2226704820592821
2021-03-25,307500.0,7500.0,-127300,-82700,172500,37500,158500,-7000,-46700,-1100,-2200,-228800,301500.0,307500.0,299000.0,585517.0,2.44,0.5,2.623,0.25,33072.88,13089.75,3.9825,60.55,294400.0,0.0,0.0,294312.2643923844,293691.65128012025,293321.31999984547,0.0,-419655.89097767544,7000.0,2487607.0,-134588.31277372746,100.0,74.16666666666667,52.37455197132616,1246.3609641648945,412.66774997922687,833.6932141856677,0.0,4.948805460750849,0.0,0.0,0.0,0.0,0.0,14500.0,0.0,898339.2815652626,310360.4749265978,295200.0,280039.5250734022,304666.6666666667,9073178063.147612,0.0,300000.0,307500.0,-0.23112358366902408
2021-03-26,314000.0,6500.0,138900,295700,-419500,-15100,185000,-1000,8900,200,-1600,-52500,311500.0,316500.0,304000.0,815381.0,2.07,0.5,2.608,0.25,33171.37,13316.0,4.0005,59.16,296100.0,0.0,0.0,296741.84234938177,295645.5846142198,294995.92755752953,0.0,69572.70902232453,17000.0,3302988.0,138527.84298052156,91.80327868852459,90.60109289617486,72.1179270227393,2189.5542243297095,784.3937261763272,1405.1604981533824,0.0,5.723905723905731,-6.944444444444445,233.58129649309285,0.0,0.0,0.0,17000.0,0.0,915574.9775002219,319097.567407635,300600.0,282102.432592365,311500.0,10731179657.11735,0.0,300000.0,314000.0,-0.11257241781309346
2021-03-29,330500.0,16500.0,-703100,49600,659200,-5700,-460300,-19300,-29600,-25800,-2500,-165700,332500.0,334500.0,322000.0,1786627.0,4.99,0.5,2.639,0.25,33066.96,13316.0,3.9945,61.45,300250.0,0.0,0.0,300776.6718830964,298843.63614902826,297704.8699150218,10500.0,712758.4290223245,33500.0,5089615.0,442313.74097266694,90.80459770114942,94.20262546322466,86.3234616753554,3852.063652616809,1420.3017354779604,2431.7619171388487,76.21951219512195,14.35986159169551,-7.920792079207921,278.9601333939671,0.0,0.0,85.59125152286813,41500.0,0.0,1009458.2434237888,334864.5912735017,308900.0,282935.4087264983,329000.0,12593563177.988466,0.0,300000.0,330500.0,-0.01910721767339351
2021-03-30,323500.0,-7000.0,253900,346700,-604800,4200,295900,10800,-28000,-800,2100,-26100,328500.0,329000.0,323000.0,614957.0,-2.16,0.5,2.511,0.25,32981.55,13585.5,4.1405,58.65,302950.0,0.0,0.0,303417.0528022184,301010.34131435445,299567.43322634225,10285.714285714286,200294.26235565782,26500.0,4474658.0,363322.6697598173,74.11764705882354,85.57517448283251,90.12629761407736,4640.601604502066,2083.015441787719,2557.586162714347,69.80240549828179,9.10623946037099,-21.782178217821784,167.88421778084037,0.0,0.0,78.40609130380027,27000.0,0.0,996433.4355569205,336911.92334481305,315100.0,293288.07665518695,325166.6666666667,-2195275442.0227757,0.0,323500.0,330500.0,-0.041439416232530855
2021-03-31,324500.0,1000.0,-348800,-293800,643500,-900,-317300,-11100,4800,2500,1100,-29000,326500.0,330000.0,322500.0,529579.0,0.31,0.5,2.456,0.25,33153.21,13570.0,4.1185,59.33,306050.0,0.0,0.0,305806.40495027025,302994.6389952855,301277.75452827825,10086.73469387755,-46842.60431100885,28500.0,5004237.0,219344.34943700145,71.83098591549296,78.91774355848865,86.23184783484862,5246.266778465302,2730.2399084578387,2516.0268700074635,70.18854384133611,10.562180579216363,-19.801980198019802,130.05021243723425,0.0,0.0,78.24302170563378,31000.0,0.0,998070.4649232265,336370.7055437449,320000.0,303629.2944562551,325666.6666666667,354054824.6814923,0.0,324500.0,330500.0,-0.009919443201138724
