일자,금리,천연가스,미국금리,다우존스,나스닥,구리,WTI
2021-05-04,0.5,2.967,0.25,"34,133.03","13,633.50",4.5215,65.69
2021-05-03,0.5,2.966,0.25,"34,113.23","13,895.12",4.5285,64.49
2021-04-30,0.5,2.931,0.25,"33,874.85","13,962.68",4.468,63.58
2021-04-29,0.5,2.911,0.25,"34,060.36","14,082.55",4.4865,65.01
2021-04-28,0.5,2.925,0.25,"33,820.38","14,051.03",4.4975,63.86
2021-04-27,0.5,2.873,0.25,"33,984.93","14,090.22",4.4855,62.94
2021-04-26,0.5,2.79,0.25,"33,981.57","14,138.78",4.4445,61.91
2021-04-23,0.5,2.73,0.25,"34,043.49","14,016.81",4.341,62.14
2021-04-22,0.5,2.749,0.25,"33,815.90","13,818.41",4.2795,61.43
2021-04-21,0.5,2.692,0.25,"34,137.31","13,950.22",4.2875,61.35
2021-04-20,0.5,2.727,0.25,"33,821.30","13,786.27",4.221,62.44
2021-04-19,0.5,2.749,0.25,"34,077.63","13,914.76",4.245,63.38
2021-04-16,0.5,2.68,0.25,"34,200.67","14,052.34",4.173,63.13
2021-04-15,0.5,2.658,0.25,"34,035.99","14,038.76",4.225,63.46
2021-04-14,0.5,2.618,0.25,"33,730.89","13,857.84",4.134,63.15
2021-04-13,0.5,2.619,0.25,"33,677.27","13,996.10",4.039,60.18
2021-04-12,0.5,2.561,0.25,"33,745.40","13,850.00",4.0255,59.7
2021-04-09,0.5,2.526,0.25,"33,800.60","13,900.18",4.046,59.32
2021-04-08,0.5,2.522,0.25,"33,503.57","13,829.31",4.099,59.6
2021-04-07,0.5,2.52,0.25,"33,446.26","13,688.84",4.0575,59.77
2021-04-06,0.5,2.456,0.25,"33,430.24","13,698.38",4.1185,59.33
2021-04-05,0.5,2.511,0.25,"33,527.19","13,705.59",4.1405,58.65
2021-04-01,0.5,2.639,0.25,"33,153.21","13,480.11",3.9945,61.45
2021-03-31,0.5,2.608,0.25,"32,981.55","13,246.87",4.0005,59.16
2021-03-30,0.5,2.623,0.25,"33,066.96","13,045.39",3.9825,60.55
2021-03-29,0.5,2.586,0.25,"33,171.37","13,059.65",4.0385,61.56
2021-03-26,0.5,2.557,0.25,"33,072.88","13,138.72",4.0705,60.97
2021-03-25,0.5,2.57,0.25,"32,619.48","12,977.68",3.9815,58.56
2021-03-24,0.5,2.518,0.25,"32,420.06","12,961.89",4.0675,61.18
2021-03-23,0.5,2.508,0.25,"32,423.15","13,227.70",4.0815,57.76
2021-03-22,0.5,2.582,0.25,"32,731.20","13,377.54",4.1415,61.55
2021-03-19,0.5,2.535,0.25,"32,627.97","13,215.24",4.1135,61.42
2021-03-18,0.5,2.481,0.25,"32,862.30","13,116.17",4.109,60
2021-03-17,0.5,2.528,0.25,"33,015.37","13,525.20",4.1205,64.6
2021-03-16,0.5,2.562,0.25,"32,825.95","13,471.57",4.073,64.8
2021-03-15,0.5,2.484,0.25,"32,953.46","13,459.71",4.1415,65.39
2021-03-12,0.5,2.6,0.25,"32,778.64","13,319.87",4.1415,65.61
2021-03-11,0.5,2.668,0.25,"32,485.59","13,398.67",4.141,66.02
2021-03-10,0.5,2.692,0.25,"32,297.02","13,068.83",4.0325,64.44
2021-03-09,0.5,2.662,0.25,"31,832.74","13,073.83",4.008,64.01
2021-03-08,0.5,2.664,0.25,"31,802.44","12,609.16",4.0915,65.05
2021-03-05,0.5,2.701,0.25,"31,496.30","12,920.15",4.075,66.09
2021-03-04,0.5,2.746,0.25,"30,924.14","12,723.47",3.978,63.83
2021-03-03,0.5,2.816,0.25,"31,270.09","12,997.75",4.142,61.28
2021-03-02,0.5,2.839,0.25,"31,391.52","13,358.79",4.222,59.75
2021-02-26,0.5,2.777,0.25,"31,535.51","13,588.83",4.113,60.64
2021-02-25,0.5,2.771,0.25,"30,932.37","13,192.34",4.0925,61.5
2021-02-24,0.5,2.777,0.25,"31,402.01","13,119.43",4.2635,63.53
2021-02-23,0.5,2.854,0.25,"31,961.86","13,597.97",4.304,63.22
2021-02-22,0.5,2.879,0.25,"31,537.35","13,465.20",4.1875,61.67
2021-02-19,0.5,2.953,0.25,"31,521.69","13,533.05",4.149,61.49
