일자,지수,대비,기관,외국인,개인,연기금 등
2009-01-12,351.35,-7.13,-2865,-20100,23357,6166
2009-01-13,355.13,3.78,-5259,-6929,14885,-727
2009-01-14,364.63,9.5,3053,4698,-4102,-1469
2009-01-15,343.35,-21.28,15894,-26507,2839,2144
2009-01-16,354.6,11.25,24817,-14799,-11402,4725
2009-01-19,363.13,8.53,19033,13364,-29672,3133
2009-01-20,358.19,-4.94,27176,-14721,-15202,4738
2009-01-21,352.43,-5.76,29596,-27097,-14774,3384
2009-01-22,358.58,6.15,24690,-4916,-19153,-1977
2009-01-23,352.83,-5.75,3955,-9509,7794,2858
2009-01-28,361.68,8.85,-4198,-6221,7948,-3767
2009-01-29,363.98,2.3,11996,-9337,-1622,5153
2009-01-30,364.9,0.92,24102,-17013,-6046,7398
2009-02-02,365.77,0.87,16303,-18680,-432,1329
2009-02-03,372.28,6.51,22752,-7196,-17063,2908
2009-02-04,378.88,6.6,6646,1962,-1360,-113
2009-02-05,373.49,-5.39,11989,-4557,-887,2328
2009-02-06,378.79,5.3,-10532,-26235,43178,-2081
2009-02-09,376.83,-1.96,-16449,-18081,39690,-2698
2009-02-10,380.26,3.43,3026,-31993,29785,4042
2009-02-11,383.41,3.15,13072,-45680,36824,6679
2009-02-12,385.92,2.51,22728,-13691,-920,6016
2009-02-13,395.69,9.77,53401,5779,-61826,13193
2009-02-16,402.87,7.18,67318,-4364,-73111,5164
2009-02-17,383.17,-19.7,16431,-26810,9520,10625
2009-02-18,390.07,6.9,46506,-44736,-405,5344
2009-02-19,384.67,-5.4,-39412,-14841,66639,-3266
2009-02-20,367.14,-17.53,24850,-17887,-9151,5930
2009-02-23,375.57,8.43,20656,-9429,-13319,5547
2009-02-24,370.11,-5.46,15433,2877,-19870,5805
2009-02-25,362.08,-8.03,-22633,4002,28314,-1025
2009-02-26,358.65,-3.43,-30443,6580,34938,-65
2009-02-27,363.21,4.56,19700,3484,-21372,6490
2009-03-02,349.71,-13.5,17422,-13264,332,3866
2009-03-03,347.76,-1.95,25294,-11336,-13628,3837
2009-03-04,359.9,12.14,21820,-157,-19211,1461
2009-03-05,362.16,2.26,30067,852,-27048,4915
2009-03-06,365.18,3.02,28982,-10334,-16712,2378
2009-03-09,378.73,13.55,15647,-877,-15706,3466
2009-03-10,377.92,-0.81,-13400,-12379,28372,-4342
2009-03-11,385.69,7.77,15423,-12048,-400,1939
2009-03-12,386.59,0.9,15613,-4421,-11695,1259
2009-03-13,389.27,2.68,-2111,-6502,12803,3074
2009-03-16,387.77,-1.5,-13566,-11100,20637,-3388
2009-03-17,394.66,6.89,-3718,-4756,6776,-1939
2009-03-18,398.6,3.94,-4396,9551,-768,-1538
2009-03-19,393.94,-4.66,-5115,-35055,43772,5612
2009-03-20,400.71,6.77,17096,-11434,-5547,3393
2009-03-23,409.23,8.52,9451,258,-7493,2004
2009-03-24,412.39,3.16,-13307,-3524,28129,-1922
2009-03-25,419.29,6.9,12524,-10541,2496,2707
2009-03-26,427.27,7.98,16218,-4425,-8564,-4969
2009-03-27,421.24,-6.03,7890,-11784,10296,3797
2009-03-30,412.01,-9.23,23707,-16874,4303,3336
2009-03-31,421.44,9.43,-3859,706,8091,-444
2009-04-01,430.97,9.53,-12747,18499,-3469,-7180
2009-04-02,439.84,8.87,-14632,2807,21740,-6461
2009-04-03,439.16,-0.68,-35034,-12063,49599,2419
2009-04-06,447.94,8.78,-30440,6463,40831,-4204
2009-04-07,458.57,10.63,-11183,21318,-5305,-5036
2009-04-08,460.83,2.26,26865,3580,-30549,7242
2009-04-09,481.45,20.62,56377,6607,-60714,10278
2009-04-10,493.26,11.81,-1796,-564,12860,600
2009-04-13,507.23,13.97,35175,-3350,-6841,5265
2009-04-14,508.68,1.45,-47224,-32813,105726,-2653
2009-04-15,502.2,-6.48,4857,-53834,82169,-3966
2009-04-16,497.52,-4.68,-44478,-8238,88605,-4957
2009-04-17,483.8,-13.72,-83944,-1179,98510,-5560
2009-04-20,491.94,8.14,-27796,-1789,41629,-2718
2009-04-21,497.19,5.25,6972,9555,-5432,5422
2009-04-22,509.9,12.71,38970,1720,-31888,-3476
2009-04-23,514.09,4.19,8631,-3215,398,8517
2009-04-24,507.5,-6.59,-48848,-30291,85369,964
2009-04-27,505.97,-1.53,-36178,-25586,77659,-1255
2009-04-28,479.37,-26.6,-46321,-17370,69450,-508
2009-04-29,494.47,15.1,-7860,9842,1006,-285
2009-04-30,500.98,6.51,18381,6798,-6487,12660
2009-05-04,507.01,6.03,-26977,4019,40584,599
2009-05-06,510.02,3.01,-6211,-6249,20638,-5091
2009-05-07,513.95,3.93,10381,-12161,13836,10316
2009-05-08,517.83,3.88,2350,-117,16738,830
2009-05-11,523.91,6.08,4136,-1095,9197,6073
2009-05-12,526.18,2.27,229,-13418,28508,10316
2009-05-13,535.95,9.77,42008,-17267,6013,6965
2009-05-14,536.78,0.83,48936,9327,-47362,14007
2009-05-15,543.54,6.76,33185,-20881,-5425,5856
2009-05-18,545.01,1.47,21988,-1731,-12844,505
2009-05-19,553.77,8.76,-8741,-1039,23559,631
2009-05-20,562.57,8.8,51982,13165,-53565,19406
2009-05-21,559.15,-3.42,-19104,-25212,42463,-461
2009-05-22,554.09,-5.06,15146,22780,-25151,8315
2009-05-25,542.08,-12.01,-613,-10046,7863,7329
2009-05-26,536.54,-5.54,74580,-20103,-55843,14629
2009-05-27,524.33,-12.21,17984,-10926,-10494,312
2009-05-28,521.11,-3.22,-13704,-8077,28621,1796
2009-05-29,528.8,7.69,-19510,38187,10187,12532
2009-06-01,539.56,10.76,4514,-6696,22686,13995
2009-06-02,538.69,-0.87,-23185,4106,36455,-12399
2009-06-03,541.25,2.56,-60749,-17664,98622,-17103
2009-06-04,528,-13.25,-37542,-20324,73131,-8
2009-06-05,529.11,1.11,-47233,2640,63847,-1941
2009-06-08,529.11,0,-29458,-749,49800,-5384
2009-06-09,517.96,-11.15,-51652,-10289,77127,-11702
2009-06-10,520.36,2.4,-39746,4074,49757,-16895
2009-06-11,520.6,0.24,-47337,2082,51448,-2306
2009-06-12,524.26,3.66,15915,-8848,9784,4382
2009-06-15,519.63,-4.63,-15585,-3447,28583,-3322
2009-06-16,520.93,1.3,-5937,1545,3444,2541
2009-06-17,517.37,-3.56,-13408,-11980,25570,-7710
2009-06-18,513.22,-4.15,11051,2843,-3625,2322
2009-06-19,510.27,-2.95,-236,-11257,12052,-2684
2009-06-22,513.13,2.86,-29083,6546,30697,3202
2009-06-23,498.03,-15.1,654,-18801,20295,1411
2009-06-24,495,-3.03,-9778,-11970,22147,-4150
2009-06-25,504.03,9.03,5310,6980,-7766,-2505
2009-06-26,503.34,-0.69,-1968,-7796,-3040,-8465
2009-06-29,491.64,-11.7,-34031,-16713,55904,-5938
2009-06-30,485.15,-6.49,-18540,-18705,43667,-3254
2009-07-01,491.17,6.02,-27770,10538,22897,-1089
2009-07-02,496,4.83,5930,2474,-2704,-909
2009-07-03,501.82,5.82,6444,-878,-1251,1131
2009-07-06,505.42,3.6,10568,-5577,1311,2618
2009-07-07,508.76,3.34,-11176,-6923,24344,-1114
2009-07-08,505.69,-3.07,-26179,-9487,46826,-4791
2009-07-09,502.8,-2.89,-67275,7369,72301,-7470
2009-07-10,495.27,-7.53,-72920,-23981,109881,-5978
2009-07-13,476.05,-19.22,-19111,-18107,32101,-8179
2009-07-14,476.25,0.2,-13294,-11125,26781,-3865
2009-07-15,486.67,10.42,-7842,20705,-13032,1058
2009-07-16,482.28,-4.39,-34540,4725,28504,-21094
2009-07-17,485.87,3.59,-24288,8098,18095,-11727
2009-07-20,493.62,7.75,-5249,15424,621,-8911
2009-07-21,495.91,2.29,-36782,12554,26739,-8734
2009-07-22,497.77,1.86,-26268,18223,17074,-14304
2009-07-23,497.89,0.12,10739,-720,-12110,-4993
2009-07-24,500.02,2.13,10287,18093,-29215,-4041
2009-07-27,504.65,4.63,-24773,5846,22170,-10423
2009-07-28,504.16,-0.49,-22137,3652,26779,-3013
2009-07-29,501.57,-2.59,-13060,-1307,18549,-1994
2009-07-30,502.9,1.33,-15393,7421,18556,-4928
2009-07-31,504.35,1.45,-9688,4166,7454,-3856
2009-08-03,510.56,6.21,-9017,19312,-12582,-1767
2009-08-04,508.72,-1.84,-9592,1681,12763,-1794
2009-08-05,508.99,0.27,-38313,11261,39474,-3259
2009-08-06,509.26,0.27,-33303,3507,37180,-7667
2009-08-07,512.7,3.44,-15643,11875,11816,-7869
2009-08-10,516.7,4,-9375,-8165,21099,-3371
2009-08-11,519.52,2.82,-7153,13170,-38,52
2009-08-12,522.62,3.1,16530,6174,-10691,-1059
2009-08-13,531.71,9.09,64045,10357,-76443,9679
2009-08-14,531.12,-0.59,-2094,4905,11801,-4327
2009-08-17,517.83,-13.29,-63489,-11323,83513,-6753
2009-08-18,511.53,-6.3,-40677,-6893,53487,-3693
2009-08-19,510.2,-1.33,-17715,3822,23090,-5485
2009-08-20,516.77,6.57,5229,-2749,-9290,-1563
2009-08-21,512.14,-4.63,-4489,-11422,18191,9269
2009-08-24,511.36,-0.78,-8892,-8258,26216,8784
2009-08-25,510.69,-0.67,-10438,9124,8177,-1966
2009-08-26,516.96,6.27,-3092,11904,3125,2273
2009-08-27,513.6,-3.36,-9034,22886,-1214,3578
2009-08-28,520.19,6.59,20029,25750,-33200,5626
2009-08-31,514.7,-5.49,-18374,-4130,32238,4059
2009-09-01,516.27,1.57,10402,-12382,4529,1549
2009-09-02,517.73,1.46,-7197,15858,-3408,6630
2009-09-03,516.95,-0.78,-19226,5260,26377,2641
2009-09-04,518.82,1.87,-535,2367,4611,1828
2009-09-07,525.61,6.79,-11999,26267,-5132,-4765
2009-09-08,526.85,1.24,-20577,22,20325,2408
2009-09-09,520.2,-6.65,-20306,2446,27456,2393
2009-09-10,525.01,4.81,-12983,16671,3166,-5727
2009-09-11,528.26,3.25,-2634,12669,-7050,-1747
2009-09-14,526.88,-1.38,-9045,1922,10587,2532
2009-09-15,531.58,4.7,4048,17766,-4813,6346
2009-09-16,531.56,-0.02,-13410,10009,11913,-2245
2009-09-17,528.13,-3.43,-44079,-3061,48979,-4105
2009-09-18,531.53,3.4,-18253,37193,5144,1249
2009-09-21,533.1,1.57,-28108,12200,21350,-4008
2009-09-22,536.97,3.87,-18852,23366,12394,-5711
2009-09-23,528.98,-7.99,-53941,-1614,67268,-2712
2009-09-24,518.77,-10.21,-35391,1424,43413,-3186
2009-09-25,516.52,-2.25,-14250,-6771,29861,-790
2009-09-28,511.61,-4.91,12765,18860,-30211,-1198
2009-09-29,512.2,0.59,12513,21644,-25653,-1741
2009-09-30,505.94,-6.26,928,17270,-13479,-355
2009-10-01,502.55,-3.39,-14843,827,17272,-2830
2009-10-05,497.83,-4.72,-7585,7141,3269,3249
2009-10-06,494.42,-3.41,-19824,-2826,34298,3296
2009-10-07,491.37,-3.05,-14922,-6713,25819,-2934
2009-10-08,496.96,5.59,-32580,26482,14565,-12289
2009-10-09,506.29,9.33,10416,50843,-58224,-3275
