일자,지수,대비,기관,외국인,개인,연기금 등
2009-01-12,1156.75,-24.21,-105369,-100171,207988,102445
2009-01-13,1167.71,10.96,-262362,30223,205073,7132
2009-01-14,1182.68,14.97,-5903,9837,-6527,-1377
2009-01-15,1111.34,-71.34,-406404,-182570,563538,86022
2009-01-16,1135.2,23.86,45743,-307461,236397,-20689
2009-01-19,1150.65,15.45,-58716,163953,-130725,9081
2009-01-20,1126.81,-23.84,-171789,-62930,189352,97567
2009-01-21,1103.61,-23.2,-93165,-242929,290131,68126
2009-01-22,1116.23,12.62,-144029,-63964,199568,-24678
2009-01-23,1093.4,-22.83,-168930,-148121,270505,72205
2009-01-28,1157.98,64.58,495207,141906,-704516,39964
2009-01-29,1166.56,8.58,262890,378344,-670958,119100
2009-01-30,1162.11,-4.45,159771,39193,-262353,108164
2009-02-02,1146.95,-15.16,-392845,229485,120883,-20211
2009-02-03,1163.2,16.25,-142663,235101,-156769,2142
2009-02-04,1195.37,32.17,399576,220838,-619695,23748
2009-02-05,1177.88,-17.49,-78793,271194,-193440,27400
2009-02-06,1210.26,32.38,77641,98343,-152329,-68307
2009-02-09,1202.69,-7.57,-52487,49058,-7616,-1610
2009-02-10,1198.87,-3.82,151692,-212889,56816,-7725
2009-02-11,1190.18,-8.69,-68495,-106306,143459,58419
2009-02-12,1179.84,-10.34,-467755,-204350,669874,61604
2009-02-13,1192.44,12.6,148279,-121326,-55737,13937
2009-02-16,1175.47,-16.97,-258174,-13499,288680,-9245
2009-02-17,1127.19,-48.28,-334833,-177554,480489,36215
2009-02-18,1113.19,-14,-374533,-171556,501297,69036
2009-02-19,1107.1,-6.09,-254734,-135781,364318,75015
2009-02-20,1065.95,-41.15,-21782,-358895,343611,133053
2009-02-23,1099.55,33.6,-14388,-8186,16498,29552
2009-02-24,1063.88,-35.67,30149,-300871,254812,158595
2009-02-25,1067.08,3.2,-185209,-50187,221253,9078
2009-02-26,1054.79,-12.29,-43936,-99608,114067,19285
2009-02-27,1063.03,8.24,35440,-4945,-84536,50652
2009-03-02,1018.81,-44.22,-16956,-411782,406456,7862
2009-03-03,1025.57,6.76,192170,-176980,-77591,2626
2009-03-04,1059.26,33.69,166390,-178269,-47596,13351
2009-03-05,1058.18,-1.08,-77986,67722,-7754,-13424
2009-03-06,1055.03,-3.15,97273,-35496,-110116,-12475
2009-03-09,1071.73,16.7,-67822,-58935,90788,-18401
2009-03-10,1092.2,20.47,158738,179050,-356052,31077
2009-03-11,1127.51,35.31,168886,560036,-694021,-24433
2009-03-12,1128.39,0.88,899151,489103,-227879,50453
2009-03-13,1126.03,-2.36,-101099,-54171,94780,-29294
2009-03-16,1125.46,-0.57,-109228,-53421,111228,-8717
2009-03-17,1163.88,38.42,494660,29551,-620084,-18450
2009-03-18,1169.95,6.07,61573,25943,-116830,-27067
2009-03-19,1161.81,-8.14,-56175,44136,12426,-25330
2009-03-20,1170.94,9.13,55406,103926,-154500,-23723
2009-03-23,1199.5,28.56,117988,218206,-341656,-46392
2009-03-24,1221.7,22.2,-189573,382877,-186049,-102913
2009-03-25,1229.02,7.32,-13614,15934,1872,-13335
2009-03-26,1243.8,14.78,59100,60811,-86765,-11322
2009-03-27,1237.51,-6.29,-297855,337854,-26476,-45561
2009-03-30,1197.46,-40.05,-126760,-107560,235991,5070
2009-03-31,1206.26,8.8,68219,-164851,111367,-17416
2009-04-01,1233.36,27.1,117990,74954,-202625,-13168
2009-04-02,1276.97,43.61,441839,362573,-822607,-2298
2009-04-03,1283.75,6.78,37512,475206,-532771,-35924
2009-04-06,1297.85,14.1,-81418,261005,-162727,-119187
2009-04-07,1300.1,2.25,-46465,-114540,144341,-92575
2009-04-08,1262.07,-38.03,-265802,-329110,605844,-50374
2009-04-09,1316.35,54.28,-260658,292929,-25539,-150813
2009-04-10,1336.04,19.69,-481589,413437,79191,-294978
2009-04-13,1338.26,2.22,-522835,399149,117255,-178803
2009-04-14,1342.63,4.37,-372254,125159,230645,-52751
2009-04-15,1333.09,-9.54,-184285,-110449,273907,14251
2009-04-16,1336.72,3.63,-578031,479945,105595,-157138
2009-04-17,1329,-7.72,-638602,483051,190123,-161659
2009-04-20,1336.39,7.39,-459161,241075,250790,-71019
2009-04-21,1336.81,0.42,-153336,-76594,235369,-49244
2009-04-22,1356.02,19.21,-311812,190777,125415,-143220
