종목명,당일 정확도,당일 등락,다음주 정확도,다음주 등락,다음달 정확도,다음달 등락
삼성물산,93.9%,상승,85.29%,하락,91.96%,하락
삼성바이오로직스,92.34%,상승,83.98%,하락,90.95%,하락
KB금융,88.71%,상승,68.67%,하락,85.86%,상승
신한지주,88.43%,상승,69.26%,하락,83.24%,상승
기아,88.41%,상승,69.96%,하락,86.75%,상승
LG화학,88.41%,상승,76.95%,하락,50.86%,하락
POSCO,86.99%,상승,85.35%,하락,90.55%,상승
현대차,86.1%,상승,53.98%,하락,88.24%,상승
SK하이닉스,85.5%,상승,80.73%,하락,59.52%,하락
삼성전자우,85.47%,상승,65.51%,하락,88.28%,상승
SK텔레콤,83.71%,상승,71.54%,하락,81.12%,상승
LG전자,83.59%,상승,67.54%,하락,90.3%,상승
LG생활건강,83.06%,상승,68.22%,하락,86.22%,상승
삼성전자,81.77%,상승,69.73%,하락,84.78%,상승
SK이노베이션,80.57%,상승,80.38%,하락,54.02%,상승
셀트리온,79.7%,상승,69.95%,하락,64.43%,상승
삼성SDI,78.25%,상승,78.16%,하락,85.65%,상승
현대모비스,75.8%,상승,51.01%,하락,92.22%,상승
NAVER,63.92%,상승,66.52%,하락,88.16%,상승
카카오,60.71%,하락,56.12%,하락,89.62%,상승
