N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,82800,400,0.0049,100,4942980,5969783,54.68,17742320,21.56,9.99
2,SK하이닉스,132500,500,-0.0038,5000,964603,728002,50.15,4812059,20.28,9.53
3,NAVER,378000,2500,-0.0066,100,620916,164263,56.94,502689,62,15.22
4,삼성전자우,75200,100,0.0013,100,618811,822887,77.68,1303100,19.58,N/A
5,LG화학,874000,3000,0.0034,5000,616977,70592,44.31,209220,133.46,2.93
6,삼성바이오로직스,812000,7000,0.0087,2500,537260,66165,10.32,72785,222.95,N/A
7,카카오,117500,0,0,100,521476,443809,33.61,2458492,330.99,2.7
8,현대차,221000,5000,-0.0221,5000,472207,213668,30.67,1183106,42.97,2.04
9,삼성SDI,670000,2000,-0.003,5000,460722,68765,42.73,182480,82.05,4.54
10,셀트리온,288000,0,0,1000,396586,137703,21.2,509250,77.48,16.68
11,기아,81300,2100,-0.0252,5000,329560,405363,33.53,4449608,22.15,5.05
12,POSCO,355500,2500,0.0071,5000,309949,87187,54.62,325528,19.35,3.61
13,현대모비스,290500,7500,-0.0252,5000,275374,94793,38.81,742654,18.06,4.66
14,LG전자,163500,0,0,5000,267564,163648,31.1,1108674,15.02,13.23
15,SK텔레콤,314500,4000,0.0129,500,253945,80746,39.32,275557,16.88,6.44
16,삼성물산,135500,1000,0.0074,100,253232,186887,14.79,397214,24.78,3.81
17,SK이노베이션,270000,5500,0.0208,5000,249657,92466,22.43,834887,-11.65,-13.58
18,LG생활건강,1598000,72000,0.0472,5000,249579,15618,45.81,83046,35.5,17.92
19,KB금융,54300,800,0.015,5000,225784,415808,69.07,3095660,6.54,8.53
20,SK,296000,4000,-0.0133,200,208266,70360,21.21,249753,110.86,1.11
21,LG,114500,5500,0.0505,5000,197578,172557,35.12,632594,13.74,7.5
22,신한지주,37450,250,0.0067,5000,193467,516600,60.1,3005087,5.55,8.2
23,엔씨소프트,849000,1000,-0.0012,500,186390,21954,51.97,63750,31.73,20.83
24,삼성생명,82400,400,0.0049,500,164800,200000,13.08,318024,13.02,3.53
25,한국전력,24050,50,-0.0021,5000,154392,641964,16.6,1447375,7.75,2.91
26,아모레퍼시픽,263500,5000,0.0193,500,154038,58458,33.37,176449,517.68,0.78
27,삼성에스디에스,193000,5500,0.0293,500,149339,77378,11.95,333002,33.68,6.71
28,삼성전기,193000,0,0,5000,144159,74694,35,242513,24.8,10.92
29,하나금융지주,42900,900,0.0214,5000,128804,300242,68.89,1702322,4.88,8.96
30,포스코케미칼,162000,3000,-0.0182,500,125490,77463,7.65,284958,351.41,2.96
31,넷마블,140000,1000,-0.0071,100,120335,85954,24.01,281221,38.39,6.35
32,SK바이오사이언스,150500,5500,0.0379,500,115132,76500,2.79,1283267,280.26,13.25
33,KT&G,82900,0,0,5000,113815,137292,40.15,333944,9.71,13.22
34,HMM,32950,800,-0.0237,5000,113807,345392,11.46,8804090,85.81,8.93
35,롯데케미칼,293500,3000,-0.0101,5000,100598,34275,25.82,199388,63.49,1.22
36,한국조선해양,141000,500,0.0036,5000,99790,70773,18.29,297232,-11.97,-7.42
37,LG디스플레이,27050,650,0.0246,5000,96789,357816,24.42,7364613,-108.2,-0.79
38,한화솔루션,49700,700,-0.0139,5000,95065,191278,17.49,1571596,26.97,5.3
39,삼성화재,196000,0,0,500,92855,47375,46.96,86408,13.13,4.96
40,SK바이오팜,118500,1000,0.0085,500,92801,78313,7.63,281258,-34.43,-135.18
41,하이브,258500,3500,0.0137,500,92087,35624,7.88,283510,N/A,12.52
42,한온시스템,17100,250,-0.0144,100,91280,533800,19.46,945697,82.61,5.09
43,대한항공,26200,150,-0.0057,5000,91129,347821,10.48,1240352,-22.11,-7.22
44,S-Oil,78000,700,-0.0089,2500,87815,112583,75.84,189353,-11.43,-13.07
45,금호석유,278000,1500,-0.0054,5000,84700,30468,25.77,469520,15.97,20.18
46,고려아연,439000,2000,0.0046,5000,82839,18870,22.31,88731,14.46,8.37
47,KT,29450,300,0.0103,5000,76897,261112,43.01,977814,11.69,4.76
48,우리금융지주,10500,0,0,5000,75838,722268,27.05,3351972,5.8,5.87
49,현대글로비스,187000,0,0,500,70125,37500,32.75,136962,11.57,12.45
50,현대제철,51500,1500,0.03,5000,68725,133446,20.46,1680062,-15.98,-2.59
